Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,strong;sudden;bad;hot;deep;quick;dangerous;blind;bitter;raw
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,courage,brave;strong;big;quiet;real;cold;fast;true;hard;clear
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,fear,big;dark;cold;sudden;deep;bad;strong;quick;blind;real
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,freedom,big;true;new;clean;open;fast;quiet;real;hard;bright
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,happiness,big;true;bright;warm;sweet;full;real;quick;clean;deep
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,hate,strong;blind;bitter;cold;deep;bad;dark;quick;hard;raw
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,honesty,true;clean;real;simple;quiet;hard;bright;full;open;clear
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,justice,true;fair;hard;clean;real;quiet;full;bright;open;simple
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,knowledge,big;deep;real;useful;hard;true;full;clear;new;quiet
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,love,strong;true;deep;warm;sweet;real;big;pure;quiet;blind
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,peace,quiet;full;clean;real;warm;sweet;open;hard;bright;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,wisdom,deep;true;hard;real;quiet;big;clear;useful;simple;full
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;simple;shiny
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,candle,small;tall;thin;bright;warm;cheap;soft;colorful;new;old
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,carpet,big;soft;colorful;old;new;clean;thick;warm;simple;dirty
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,coin,small;round;metal;old;new;shiny;thin;cheap;hard;gold
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,crown,big;gold;shiny;old;new;heavy;royal;simple;hard;beautiful
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,flag,big;colorful;old;new;national;simple;high;clean;bright;soft
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,mask,small;black;simple;old;new;scary;hard;colorful;thin;funny
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,necklace,beautiful;small;gold;shiny;old;new;simple;heavy;cheap;long
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,painting,beautiful;big;old;new;colorful;simple;bright;clean;hard;quiet
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,ring,small;gold;shiny;old;new;simple;heavy;cheap;beautiful;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,statue,big;old;stone;new;tall;simple;hard;beautiful;clean;quiet
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,vase,beautiful;big;small;old;new;glass;simple;colorful;clean;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,cloud,big;white;soft;high;gray;dark;light;cold;wet;fast
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,earthquake,strong;sudden;big;dangerous;deep;bad;fast;hard;wild;real
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,fog,thick;gray;cold;wet;heavy;dark;quiet;slow;deep;bad
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;quick;wild;strong;hot;sudden;big;bad
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,rain,heavy;cold;wet;soft;fast;long;light;bad;quiet;fresh
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;clear;rare;high;simple;wet;soft
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;fresh;wet;big;quiet;hard
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,storm,strong;wild;big;dangerous;fast;loud;dark;cold;wet;bad
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;scary;big;deep;fast;wild;hot;bad
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,tide,strong;high;fast;deep;wild;cold;wet;big;quiet;simple
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,volcano,big;hot;dangerous;deep;wild;strong;old;active;high;bad
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;wild;quiet;hot;fresh;light;high;bad
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;hard;juicy;clean;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,banana,yellow;long;soft;sweet;fresh;big;small;cheap;ripe;curved
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,beef,red;fresh;big;tough;cheap;cooked;hot;fatty;raw;good
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,bread,fresh;soft;warm;white;big;cheap;hard;brown;clean;simple
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,broccoli,green;fresh;small;hard;healthy;raw;cooked;big;cheap;wet
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,cheese,yellow;soft;fresh;hard;tasty;cheap;creamy;old;new;big
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,chicken,white;fresh;big;cooked;raw;tasty;cheap;hot;soft;simple
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,egg,white;small;fresh;hard;soft;cheap;raw;cooked;clean;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,fish,fresh;big;small;wet;tasty;cold;raw;cooked;shiny;fast
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,pasta,long;soft;hot;tasty;cheap;cooked;dry;simple;white;fresh
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,rice,white;cooked;soft;hot;cheap;dry;fresh;long;simple;clean
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,soup,hot;tasty;fresh;thick;simple;cold;cheap;creamy;clear;warm
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,artist,creative;young;old;talented;quiet;hard;real;big;simple;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;hard;big;real;quiet;skilled;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,chef,skilled;busy;young;old;quick;hard;real;big;simple;clean
