Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;hard;red;new;other;same;different
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,courage,big;real;good;strong;new;other;right;same;different;little
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,fear,big;bad;strong;real;dark;new;other;same;different;little
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,freedom,real;big;important;new;good;same;other;right;different;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,happiness,big;real;good;new;strong;other;right;same;different;little
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,hate,big;bad;strong;real;new;other;same;different;little;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,honesty,real;big;good;new;important;other;same;different;little;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,justice,real;big;new;good;important;other;right;same;different;little
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,knowledge,big;good;important;new;other;same;different;little;right;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,love,big;good;real;new;strong;other;right;same;different;little
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,peace,big;good;real;new;important;other;same;different;little;right
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,wisdom,big;real;good;new;important;other;same;different;little;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;other;same;different;metal;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;good;other;same;different;white;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;good;red;other;same;different;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,coin,big;small;new;old;gold;other;same;different;metal;silver
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,crown,big;small;new;old;gold;other;same;different;metal;good
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;red;other;same;different;good;white
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;good;other;same;different;white;black
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,necklace,big;small;new;old;gold;other;same;different;silver;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;red;other;same;different;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,ring,big;small;new;old;gold;other;same;different;silver;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;good;other;same;different;white;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;other;same;different;nice;white
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,cloud,big;small;white;gray;dark;new;other;same;different;good
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,earthquake,big;small;strong;new;old;other;same;different;bad;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,fog,big;small;white;gray;thick;new;other;same;different;bad
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,lightning,big;strong;new;other;same;different;bright;bad;white;good
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,rain,big;small;hard;new;other;same;different;good;bad;strong
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,rainbow,big;new;other;same;different;good;nice;colored;beautiful;bright
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,snow,big;small;white;new;other;same;different;good;cold;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,storm,big;strong;new;other;same;different;bad;hard;dark;long
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,thunder,big;strong;new;other;same;different;bad;hard;loud;good
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,tide,big;small;high;low;new;other;same;different;good;bad
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,volcano,big;small;new;old;other;same;different;bad;hard;hot
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,wind,big;small;strong;new;other;same;different;good;bad;cold
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,apple,big;small;red;green;new;old;other;same;different;good
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,banana,big;small;yellow;new;old;other;same;different;good;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,beef,big;small;new;old;good;red;other;same;different;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,bread,big;small;new;old;good;white;other;same;different;brown
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,broccoli,big;small;green;new;old;other;same;different;good;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,cheese,big;small;new;old;yellow;good;other;same;different;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,chicken,big;small;new;old;good;white;other;same;different;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,egg,big;small;new;old;white;good;other;same;different;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,fish,big;small;new;old;good;other;same;different;nice;blue
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,pasta,big;small;new;old;good;white;other;same;different;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,rice,big;small;new;old;good;white;other;same;different;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,soup,big;small;new;old;good;hot;other;same;different;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,artist,big;small;good;new;old;other;same;different;famous;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,athlete,big;small;good;new;old;other;same;different;strong;famous
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,chef,big;small;good;new;old;other;same;different;famous;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,doctor,big;small;good;new;old;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,engineer,big;small;good;new;old;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,farmer,big;small;good;new;old;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,lawyer,big;small;good;new;old;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,musician,big;small;good;new;old;other;same;different;famous;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,scientist,big;small;good;new;old;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,soldier,big;small;good;new;old;other;same;different;strong;brave
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,teacher,big;small;good;new;old;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,writer,big;small;good;new;old;other;same;different;famous;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,book,big;small;new;old;good;other;same;different;nice;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,bridge,big;small;new;old;good;other;same;different;long;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,drums,big;small;new;old;good;other;same;different;loud;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,earth,big;new;old;good;other;same;different;nice;round;green
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,flute,big;small;new;old;good;other;same;different;nice;long
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,key,big;small;new;old;good;other;same;different;metal;silver
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,knife,big;small;new;old;good;other;same;different;sharp;silver
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,lock,big;small;new;old;good;other;same;different;metal;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,moon,big;small;new;old;good;other;same;different;white;round
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,pen,big;small;new;old;good;other;same;different;nice;black
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,sun,big;new;old;good;other;same;different;hot;yellow;bright
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,sword,big;small;new;old;good;other;same;different;sharp;metal
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,cat,big;small;new;old;good;other;same;different;nice;black
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,dog,big;small;new;old;good;other;same;different;nice;black
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,dolphin,big;small;new;old;good;other;same;different;nice;blue
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,elephant,big;new;old;good;other;same;different;gray;strong;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,hamster,big;small;new;old;good;other;same;different;nice;brown
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,monkey,big;small;new;old;good;other;same;different;nice;brown
