Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,anger,big;hot;bad;strong;hard;much;real;true;other;new
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,courage,big;strong;much;real;true;good;other;new;little;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,fear,big;bad;strong;much;real;true;other;new;little;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,freedom,big;real;true;good;much;other;new;little;hard;different
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,happiness,big;real;true;good;much;other;new;little;hard;more
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,hate,big;bad;strong;much;real;true;other;new;little;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,honesty,big;real;true;good;much;other;new;little;hard;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,justice,big;real;true;good;much;other;new;little;hard;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,knowledge,big;much;real;true;good;other;new;little;hard;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,love,big;real;true;good;much;other;new;little;hard;different
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,peace,big;real;true;good;much;other;new;little;hard;long
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,wisdom,big;real;true;good;much;other;new;little;hard;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;bad;other;same;different;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,candle,big;small;old;new;good;bad;other;same;different;white
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;good;bad;other;same;different;long
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,coin,big;small;old;new;good;bad;other;same;different;gold
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;good;bad;other;same;different;gold
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;good;bad;other;same;different;colorful
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;good;bad;other;same;different;white
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,necklace,big;small;old;new;good;bad;other;same;different;gold
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;good;bad;other;same;different;colorful
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,ring,big;small;old;new;good;bad;other;same;different;gold
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;good;bad;other;same;different;tall
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;good;bad;other;same;different;glass
