Language,Response,Count,Percentage
AR # Arabic,desert,6,4.17
AR # Arabic,flag,6,4.17
AR # Arabic,justice,6,4.17
AR # Arabic,bread,5,3.47
AR # Arabic,courage,3,2.08
AR # Arabic,dog,3,2.08
AR # Arabic,rose,3,2.08
AR # Arabic,grass,3,2.08
AR # Arabic,tomato,3,2.08
AR # Arabic,brother,3,2.08
AR # Arabic,rival,3,2.08
AR # Arabic,peacock,3,2.08
AR # Arabic,father,3,2.08
AR # Arabic,stranger,3,2.08
AR # Arabic,inside,3,2.08
AR # Arabic,above,3,2.08
AR # Arabic,morning,3,2.08
AR # Arabic,second,3,2.08
AR # Arabic,century,3,2.08
AR # Arabic,elephant,3,2.08
AR # Arabic,cactus,3,2.08
AR # Arabic,rain,3,2.08
AR # Arabic,bridge,3,2.08
AR # Arabic,book,3,2.08
AR # Arabic,wisdom,3,2.08
AR # Arabic,farmer,3,2.08
AR # Arabic,teacher,3,2.08
AR # Arabic,soldier,3,2.08
AR # Arabic,carpet,3,2.08
AR # Arabic,painting,3,2.08
AR # Arabic,apple,3,2.08
AR # Arabic,fog,3,2.08
AR # Arabic,moon,3,2.08
AR # Arabic,west,2,1.39
AR # Arabic,sword,2,1.39
AR # Arabic,beef,2,1.39
AR # Arabic,earthquake,2,1.39
AR # Arabic,volcano,2,1.39
AR # Arabic,east,2,1.39
AR # Arabic,night,2,1.39
AR # Arabic,artist,2,1.39
AR # Arabic,forest,2,1.39
AR # Arabic,lake,2,1.39
AR # Arabic,dolphin,2,1.39
AR # Arabic,river,1,0.69
AR # Arabic,valley,1,0.69
AR # Arabic,monkey,1,0.69
AR # Arabic,writer,1,0.69
AR # Arabic,thunder,1,0.69
AR # Arabic,lock,1,0.69
AR # Arabic,front,1,0.69
AR # Arabic,rice,1,0.69
AR # Arabic,lightning,1,0.69
AR # Arabic,evening,1,0.69
AR # Arabic,fish,1,0.69
AR # Arabic,outside,1,0.69
BN # Bengali,flag,6,4.17
BN # Bengali,above,4,2.78
BN # Bengali,potato,4,2.78
BN # Bengali,courage,3,2.08
BN # Bengali,rival,3,2.08
BN # Bengali,peacock,3,2.08
BN # Bengali,elephant,3,2.08
BN # Bengali,dog,3,2.08
BN # Bengali,mountain,3,2.08
BN # Bengali,rose,3,2.08
BN # Bengali,grass,3,2.08
BN # Bengali,father,3,2.08
BN # Bengali,bridge,3,2.08
BN # Bengali,stranger,3,2.08
BN # Bengali,inside,3,2.08
BN # Bengali,outside,3,2.08
BN # Bengali,morning,3,2.08
BN # Bengali,second,3,2.08
BN # Bengali,century,3,2.08
BN # Bengali,moon,3,2.08
BN # Bengali,cactus,3,2.08
BN # Bengali,book,3,2.08
BN # Bengali,rice,3,2.08
BN # Bengali,rain,3,2.08
BN # Bengali,thunder,3,2.08
BN # Bengali,fog,3,2.08
BN # Bengali,fish,3,2.08
BN # Bengali,painting,3,2.08
BN # Bengali,farmer,3,2.08
BN # Bengali,soldier,3,2.08
BN # Bengali,teacher,3,2.08
BN # Bengali,east,2,1.39
BN # Bengali,forest,2,1.39
BN # Bengali,justice,2,1.39
BN # Bengali,night,2,1.39
BN # Bengali,river,2,1.39
BN # Bengali,coin,2,1.39
BN # Bengali,lightning,2,1.39
BN # Bengali,monkey,2,1.39
BN # Bengali,freedom,2,1.39
BN # Bengali,brother,2,1.39
BN # Bengali,soup,2,1.39
BN # Bengali,lake,2,1.39
BN # Bengali,honesty,2,1.39
BN # Bengali,sword,2,1.39
BN # Bengali,earthquake,1,0.69
BN # Bengali,banana,1,0.69
BN # Bengali,bell,1,0.69
BN # Bengali,wisdom,1,0.69
BN # Bengali,friend,1,0.69
BN # Bengali,desert,1,0.69
BN # Bengali,writer,1,0.69
BN # Bengali,artist,1,0.69
BN # Bengali,শিল্পী,1,0.69
BN # Bengali,Broccoli,1,0.69
BN # Bengali,শান্তি (Peace),1,0.69
BN # Bengali,peace,1,0.69
BN # Bengali,evening,1,0.69
BN # Bengali,lock,1,0.69
BN # Bengali,dolphin,1,0.69
BN # Bengali,apple,1,0.69
BN # Bengali,island,1,0.69
BN # Bengali,village,1,0.69
DE # German,flag,6,4.17
DE # German,bread,6,4.17
DE # German,potato,4,2.78
DE # German,forest,4,2.78
DE # German,rose,3,2.08
DE # German,dolphin,3,2.08
DE # German,elephant,3,2.08
DE # German,dog,3,2.08
DE # German,lake,3,2.08
DE # German,mountain,3,2.08
DE # German,grass,3,2.08
DE # German,bridge,3,2.08
DE # German,rival,3,2.08
DE # German,stranger,3,2.08
DE # German,west,3,2.08
DE # German,above,3,2.08
DE # German,second,3,2.08
DE # German,century,3,2.08
DE # German,moon,3,2.08
DE # German,courage,3,2.08
DE # German,book,3,2.08
DE # German,lightning,3,2.08
DE # German,farmer,3,2.08
DE # German,teacher,3,2.08
DE # German,artist,3,2.08
DE # German,apple,3,2.08
DE # German,fog,3,2.08
DE # German,painting,3,2.08
DE # German,peacock,2,1.39
DE # German,east,2,1.39
DE # German,wisdom,2,1.39
DE # German,night,2,1.39
DE # German,morning,2,1.39
DE # German,justice,2,1.39
DE # German,inside,2,1.39
DE # German,father,2,1.39
DE # German,rainbow,2,1.39
DE # German,brother,2,1.39
DE # German,honesty,2,1.39
DE # German,volcano,2,1.39
DE # German,cactus,2,1.39
DE # German,soldier,2,1.39
DE # German,sword,2,1.39
DE # German,Soldier,1,0.69
DE # German,bell,1,0.69
DE # German,back,1,0.69
DE # German,fish,1,0.69
