language1,language2,chi2_statistic,p_value,significant,cohens_d,cohens_d_interpretation,lang1_sample_size,lang2_sample_size
AR # Arabic,BN # Bengali,26.0,0.9997956514811216,False,-0.14444662808344527,Negligible effect,48,48
AR # Arabic,DE # German,21.333333333333336,0.9999684750040437,False,-0.025934363176073894,Negligible effect,48,48
AR # Arabic,ES # Spanish,17.333333333333332,0.9999984879594864,False,-0.09665712116189834,Negligible effect,48,48
AR # Arabic,FA # Persian,6.0,0.9999999999999266,False,-0.14769274492655501,Negligible effect,48,48
AR # Arabic,FR # French,21.333333333333336,0.9999804805677674,False,-0.0799124003644976,Negligible effect,48,48
AR # Arabic,GA # Irish,24.666666666666668,0.9996925789279092,False,-0.05611085776130937,Negligible effect,48,48
AR # Arabic,HE # Hebrew,10.0,0.9999999991927467,False,-0.030824051378132652,Negligible effect,48,48
AR # Arabic,HI # Hindi,27.333333333333336,0.9996989705527548,False,-0.14281181296773984,Negligible effect,48,48
AR # Arabic,IT # Italian,23.333333333333332,0.99994529725666,False,-0.14769274492655501,Negligible effect,48,48
AR # Arabic,JA # Japanese,20.0,0.9999892963811213,False,-0.14607370822606824,Negligible effect,48,48
AR # Arabic,KO # Korean,25.333333333333336,0.999795561471774,False,-0.09336126093678362,Negligible effect,48,48
AR # Arabic,LV # Latvian,21.333333333333336,0.9999495310908617,False,-0.00656029385057327,Negligible effect,48,48
AR # Arabic,PL # Polish,26.666666666666668,0.9995525357638102,False,-0.07161759052774778,Negligible effect,48,48
AR # Arabic,PS # Pashto,12.666666666666668,0.99999998343123,False,-0.14930343364536722,Negligible effect,48,48
AR # Arabic,PT # Portuguese,24.66666666666667,0.9998655778616483,False,-0.09173004382144898,Negligible effect,48,48
AR # Arabic,RU # Russian,16.0,0.9999993517873471,False,-0.08152367572744024,Negligible effect,48,48
AR # Arabic,SQ # Albanian,22.0,0.9999673069994217,False,-0.07991240036449761,Negligible effect,48,48
AR # Arabic,SW # Swahili,18.666666666666664,0.999996766847204,False,-0.14444662808344527,Negligible effect,48,48
AR # Arabic,TH # Thai,24.0,0.9999133467820508,False,-0.14281181296773984,Negligible effect,48,48
AR # Arabic,TR # Turkish,7.333333333333333,0.9999999999956597,False,-0.07991240036449761,Negligible effect,48,48
AR # Arabic,UR # Urdu,8.0,0.9999999999901216,False,-0.14930343364536722,Negligible effect,48,48
AR # Arabic,VI # Vietnamese,20.0,0.9999892963811213,False,-0.14444662808344527,Negligible effect,48,48
AR # Arabic,ZH # Mandarin,17.333333333333332,0.9999984879594864,False,-0.14444662808344527,Negligible effect,48,48
BN # Bengali,DE # German,19.333333333333336,0.9999964730429155,False,0.1172927080126345,Negligible effect,48,48
BN # Bengali,ES # Spanish,23.333333333333336,0.9999780799525003,False,0.048203887415734725,Negligible effect,48,48
BN # Bengali,FA # Persian,22.0,0.9999922901379592,False,-0.0030687554405726607,Negligible effect,48,48
BN # Bengali,FR # French,18.0,0.9999990357237041,False,0.06328472789519558,Negligible effect,48,48
BN # Bengali,GA # Irish,20.333333333333332,0.9999914296230158,False,0.09064588851934743,Negligible effect,48,48
BN # Bengali,HE # Hebrew,29.333333333333336,0.9995750027132694,False,0.11269287248391252,Negligible effect,48,48
BN # Bengali,HI # Hindi,10.0,0.9999999999298219,False,0.0015332086374348283,Negligible effect,48,48
BN # Bengali,IT # Italian,22.0,0.9999922901379592,False,-0.0030687554405726607,Negligible effect,48,48
BN # Bengali,JA # Japanese,14.0,0.9999999854909243,False,-0.0015340743679599965,Negligible effect,48,48
