Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,anger,intense;fiery;uncontrollable;deep;burning;fierce;raw;bitter;sudden;suppressed
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,courage,bold;fearless;brave;heroic;daring;valiant;steadfast;resolute;gallant;unwavering
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,fear,overwhelming;paralyzing;deep-seated;irrational;chilling;haunting;persistent;primal;creeping;unspoken
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,freedom,absolute;cherished;hard-won;liberating;boundless;precious;fundamental;exhilarating;true;enduring
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,happiness,pure;radiant;infectious;genuine;boundless;serene;blissful;heartfelt;lasting;simple
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,hate,intense;venomous;bitter;consuming;relentless;deep-rooted;vicious;toxic;blind;seething
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,honesty,brutal;refreshing;unwavering;sincere;absolute;transparent;admirable;rare;steadfast;unyielding
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,justice,fair;impartial;righteous;overdue;swift;blind;hard-fought;moral;equitable;deserved
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,knowledge,vast;profound;deep;extensive;invaluable;practical;specialized;ancient;hidden;essential
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,love,unconditional;passionate;tender;eternal;selfless;deep;romantic;enduring;genuine;fierce
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,peace,lasting;inner;fragile;serene;quiet;harmonious;elusive;profound;calming;sacred
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,wisdom,timeless;profound;hard-earned;insightful;ancient;practical;deep;guiding;quiet;invaluable
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,bell,loud;clear;resonant;melodic;antique;brass;tiny;cheerful;solemn;echoing
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,candle,flickering;warm;scented;delicate;soft;glowing;tall;handmade;calming;dim
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,carpet,plush;soft;colorful;worn;thick;patterned;luxurious;old;cozy;stained
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,coin,shiny;old;rare;silver;small;worn;valuable;ancient;commemorative;tarnished
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,crown,golden;ornate;heavy;royal;jeweled;ancient;majestic;ceremonial;glittering;symbolic
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,flag,national;tattered;proud;colorful;waving;historic;bold;iconic;vibrant;symbolic
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,mask,mysterious;eerie;colorful;intricate;hidden;ceremonial;creepy;painted;traditional;deceptive
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,necklace,delicate;elegant;sparkling;gold;beaded;vintage;simple;expensive;sentimental;long
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,painting,beautiful;abstract;vivid;classic;detailed;modern;expressive;haunting;colorful;timeless
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,ring,silver;diamond;simple;engraved;antique;wedding;shiny;elegant;bold;precious
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,statue,marble;towering;ancient;detailed;imposing;weathered;bronze;majestic;iconic;serene
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,vase,fragile;ornate;ceramic;tall;antique;floral;elegant;cracked;decorative;slender
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;white;ominous;wispy;heavy;drifting;soft;towering;gray
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,earthquake,devastating;powerful;sudden;terrifying;destructive;massive;violent;unexpected;catastrophic;rumbling
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,fog,thick;eerie;dense;mysterious;cold;enveloping;silent;gray;creeping;blinding
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,lightning,bright;jagged;sudden;powerful;electric;striking;dangerous;vivid;blinding;fierce
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,rain,gentle;heavy;steady;cold;refreshing;torrential;light;persistent;drizzling;soothing
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;beautiful;rare;magical;bright;fleeting;arched;stunning;hopeful
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,snow,soft;white;heavy;powdery;fresh;cold;silent;thick;glistening;falling
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,storm,violent;raging;fierce;dark;powerful;sudden;destructive;howling;intense;brewing
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,thunder,loud;booming;rolling;deep;startling;distant;powerful;echoing;menacing;rumbling
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,tide,high;low;strong;relentless;incoming;outgoing;powerful;calm;rhythmic;dangerous
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,volcano,active;dormant;fiery;massive;dangerous;ancient;explosive;towering;smoking;destructive
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Environmental Phenomena,wind,strong;gusty;cold;warm;gentle;howling;brisk;relentless;wild;biting
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,apple,red;crisp;juicy;sweet;green;fresh;tart;shiny;ripe;firm
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,banana,yellow;ripe;sweet;soft;curved;fresh;tropical;mushy;spotted;healthy
