Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,strong;deep;fierce;sudden;wild;hot;bitter;quiet;obvious;burning
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,courage,strong;brave;true;bold;great;firm;noble;steady;high;real
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,fear,strong;deep;sudden;dark;cold;real;true;hidden;heavy;overwhelming
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,freedom,true;pure;full;open;clear;real;great;wide;bright;free
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,happiness,true;deep;warm;pure;bright;strong;real;good;full;sweet
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,hate,strong;deep;fierce;pure;bitter;true;real;dark;cold;heavy
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,honesty,true;clear;real;plain;fair;simple;direct;basic;good;open
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,justice,true;fair;strong;clear;real;good;pure;even;steady;firm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,knowledge,deep;true;real;clear;good;broad;full;high;rich;old
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,love,true;deep;strong;pure;real;warm;kind;sweet;good;bold
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,peace,true;deep;calm;real;clear;good;pure;still;full;warm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,wisdom,old;deep;true;real;clear;good;kind;rich;calm;full
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,bell,small;clear;loud;bright;old;round;strong;heavy;pure;fine
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;old;soft;clear;real;pure;good;calm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,carpet,soft;thick;warm;bright;old;neat;clean;long;good;fine
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,coin,small;round;old;bright;clear;pure;hard;good;real;fine
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,crown,golden;old;bright;fine;proud;royal;strong;clear;real;high
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,flag,red;blue;bright;real;old;strong;clear;bold;pure;good
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,mask,old;plain;clear;dark;soft;true;deep;good;real;thin
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,necklace,small;pretty;fine;bright;real;clear;old;neat;good;pure
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,painting,colorful;old;fine;real;clear;bright;good;deep;soft;warm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,ring,small;round;fine;bright;clear;old;good;pure;real;neat
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,statue,old;big;fine;real;clear;strong;pure;good;tall;smooth
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,vase,small;fine;clear;bright;old;real;good;pure;neat;soft
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,cloud,white;soft;light;high;dark;fluffy;low;clear;thin;gentle
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,earthquake,big;strong;deep;sudden;fierce;real;hard;heavy;loud;old
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,fog,thick;deep;soft;light;white;cool;heavy;dim;low;real
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,lightning,bright;sudden;fast;strong;clear;sharp;hot;real;wild;fierce
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,rain,soft;heavy;cold;light;wet;clear;fine;dark;pure;real
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,rainbow,bright;clear;beautiful;real;soft;fine;pure;vivid;high;colorful
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,snow,white;soft;cold;deep;real;light;pure;good;fine;thick
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,storm,big;strong;dark;wild;deep;heavy;fierce;sudden;loud;real
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;fast;clear;fierce;heavy;real;dark;sudden
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,tide,high;low;strong;deep;real;clear;big;fast;wild;smooth
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,volcano,big;hot;strong;deep;old;dark;real;loud;fierce;active
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,wind,strong;cold;soft;fast;deep;real;clear;wild;high;good
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,apple,red;sweet;round;clean;small;good;fresh;bright;firm;ripe
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,banana,yellow;ripe;sweet;long;soft;good;fresh;curved;firm;bright
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,beef,red;fresh;raw;good;strong;thick;lean;fine;hard;tasty
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,bread,fresh;soft;warm;good;old;brown;light;thick;firm;sweet
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,broccoli,green;fresh;raw;good;small;healthy;bright;firm;clean;tasty
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,cheese,yellow;fresh;soft;hard;good;rich;strong;fine;real;tasty
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,chicken,fresh;good;raw;cooked;soft;light;tasty;firm;pure;lean
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,egg,small;white;fresh;good;raw;hard;round;clean;fine;bright
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,fish,fresh;good;raw;soft;bright;clear;small;light;fine;tasty
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,pasta,cooked;soft;hot;good;long;thin;plain;fresh;white;real
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,rice,white;hot;good;soft;small;plain;real;clean;fine;fresh
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Food Items,soup,hot;warm;good;fresh;thick;clear;tasty;real;soft;deep
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,artist,good;kind;smart;brave;true;strong;clear;neat;rich;real
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,athlete,strong;fast;good;brave;true;real;smart;quick;neat;firm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,chef,good;smart;kind;neat;strong;clear;true;fine;brave;real
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,doctor,good;kind;smart;strong;true;clear;neat;real;brave;firm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,engineer,good;smart;clear;strong;true;neat;real;kind;brave;hard
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,farmer,good;hard;strong;kind;real;true;neat;old;brave;smart
