Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,anger,strong;hot;deep;wild;quick;bad;hard;fierce;sudden;red
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,courage,strong;bold;true;firm;clear;pure;good;brave;big;solid
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,fear,deep;strong;big;dark;cold;wild;sharp;quick;high;sudden
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,freedom,clear;true;open;pure;good;wide;bright;free;deep;full
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,happiness,big;deep;true;good;bright;warm;full;clear;strong;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,hate,strong;deep;bad;wild;quick;dark;hard;fierce;sharp;cold
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,honesty,true;clear;good;deep;plain;pure;direct;firm;real;open
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,justice,true;fair;good;pure;clear;strong;firm;real;open;plain
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,knowledge,big;deep;true;clear;wide;old;good;full;pure;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,love,deep;big;true;pure;warm;good;soft;kind;real;full
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,peace,calm;clear;true;deep;quiet;good;full;soft;open;mild
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,wisdom,old;deep;true;good;clear;wise;pure;real;firm;vast
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,bell,small;round;old;clear;loud;hard;bright;true;plain;neat
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,candle,small;bright;soft;clear;old;light;warm;pure;round;thin
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,carpet,soft;big;old;new;neat;warm;clear;deep;rich;good
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,coin,small;round;old;shiny;new;hard;light;bright;pure;thin
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,crown,big;bright;old;rich;gold;pure;clear;round;true;fine
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,flag,bright;red;blue;strong;clear;pure;neat;bold;big;old
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,mask,small;dark;old;clear;true;neat;full;soft;hard;wide
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,necklace,small;bright;old;neat;true;clear;pure;lovely;fine;round
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,painting,big;old;clear;true;neat;bright;pure;deep;rich;fine
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,ring,small;round;old;bright;clear;true;neat;pure;fine;slim
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,statue,big;old;clear;true;neat;strong;pure;deep;fine;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,vase,small;old;neat;clear;true;fine;round;pure;bright;deep
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,cloud,big;white;soft;light;clear;deep;dark;small;slow;wild
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,earthquake,big;strong;deep;sudden;hard;fierce;old;wild;clear;angry
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,fog,thick;gray;soft;deep;slow;weak;cold;dark;light;pure
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,lightning,bright;fast;quick;strong;wild;clear;sharp;deep;old;high
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,rain,soft;cold;slow;big;clear;deep;wet;sharp;quick;strong
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,rainbow,bright;clear;new;big;pure;rich;deep;true;neat;soft
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,snow,white;soft;cold;pure;deep;big;clear;light;fresh;still
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,storm,big;strong;dark;wild;deep;quick;loud;sharp;cold;fierce
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;clear;quick;wild;big;hard;old;fast
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,tide,big;strong;deep;clear;full;high;low;true;steady;wild
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,volcano,big;old;strong;hot;deep;wild;clear;hard;fierce;rich
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,wind,strong;cold;wild;fast;soft;deep;clear;high;pure;fresh
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,apple,red;small;big;sweet;round;fresh;pure;hard;clear;firm
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,banana,yellow;long;big;sweet;soft;fresh;pure;clear;good;ripe
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,beef,red;fresh;good;raw;lean;soft;pure;hard;fine;hot
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,bread,fresh;good;soft;old;warm;round;pure;white;hard;rich
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,broccoli,green;fresh;good;small;soft;firm;pure;neat;clear;raw
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,cheese,yellow;fresh;good;soft;hard;pure;clear;raw;new;rich
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,chicken,small;fresh;good;soft;raw;pure;clear;light;full;neat
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,egg,small;white;good;fresh;hard;raw;pure;neat;round;soft
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,fish,small;fresh;good;raw;soft;pure;clear;blue;deep;fast
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,pasta,long;soft;good;warm;fresh;neat;pure;clear;deep;rich
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,rice,small;white;good;soft;fresh;pure;neat;clear;round;light
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,soup,hot;warm;good;clear;fresh;deep;soft;pure;light;thick
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,artist,good;kind;true;smart;bold;neat;clear;pure;deep;young
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,athlete,strong;fast;good;brave;neat;clear;pure;smart;bold;active
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,chef,good;kind;neat;clear;pure;fresh;smart;strong;bold;true
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,doctor,good;kind;smart;strong;neat;clear;pure;brave;real;fast
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,engineer,good;smart;true;neat;clear;pure;old;strong;new;brave
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,farmer,good;strong;kind;neat;true;hard;real;fresh;new;bold
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,lawyer,good;smart;true;clear;neat;bold;pure;kind;strong;fair
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,musician,good;kind;smart;neat;clear;pure;real;bold;true;soft
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,scientist,good;smart;true;neat;clear;pure;deep;bold;kind;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,soldier,strong;brave;good;smart;neat;clear;pure;true;bold;hard
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,teacher,good;kind;smart;neat;true;clear;pure;bold;strong;careful
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,writer,good;kind;smart;neat;true;clear;pure;bold;deep;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,book,old;good;thick;clear;neat;pure;deep;bright;soft;hard
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,bridge,big;long;old;strong;clear;neat;good;true;solid;bold
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,drums,big;loud;strong;deep;round;clear;neat;good;bold;fast
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,earth,big;round;old;deep;good;clear;neat;pure;strong;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,flute,small;thin;clear;good;pure;neat;bright;soft;deep;old
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,key,small;old;good;clear;neat;pure;bright;strong;quick;thin
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,knife,sharp;small;strong;good;clear;neat;true;pure;hard;old
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,lock,small;old;strong;good;clear;neat;pure;tight;dark;deep
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,moon,big;round;bright;clear;old;pure;deep;soft;good;calm
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,pen,small;thin;good;dark;clear;neat;pure;bright;soft;long
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,sun,big;bright;warm;strong;clear;good;pure;deep;true;high
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Inanimate Objects,sword,strong;sharp;long;old;good;clear;neat;pure;brave;bold
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,cat,small;cute;soft;good;kind;neat;clear;pure;fast;playful
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,dog,small;cute;good;kind;fast;strong;neat;clear;pure;loyal
