Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,anger,strong;intense;bad;deep;sudden;hot;wild;extreme;heavy;raw
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,courage,brave;strong;true;pure;great;bold;constant;firm;high;solid
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,fear,deep;strong;dark;real;cold;bad;high;sudden;big;wild
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,freedom,true;clear;pure;full;big;bright;high;open;safe;real
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,happiness,true;warm;bright;full;deep;clear;good;sweet;real;pure
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,hate,strong;deep;bad;dark;pure;rough;wild;high;sharp;crude
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;frank;solid;fair;good;open;simple;real
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,justice,fair;true;clear;strong;equal;solid;real;pure;kind;good
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,knowledge,deep;clear;true;good;high;solid;pure;broad;real;bright
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,love,true;deep;pure;strong;warm;good;kind;real;full;safe
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,peace,calm;true;clear;deep;pure;good;safe;warm;still;open
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,wisdom,deep;true;clear;good;old;pure;high;calm;solid;real
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;clear;loud;bright;round;deep;soft
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,candle,small;bright;soft;warm;clear;pure;old;good;round;safe
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,carpet,soft;big;old;new;clean;neat;warm;real;deep;good
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,coin,small;round;old;new;bright;clear;pure;good;hard;shiny
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,crown,big;old;pure;bright;strong;fine;clear;real;good;high
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,flag,big;bright;clear;pure;true;real;high;strong;bold;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,mask,old;new;clear;pure;real;big;small;true;high;good
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,necklace,old;new;bright;clear;pure;fine;real;good;small;high
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,painting,old;new;clear;bright;pure;real;good;deep;big;fine
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,ring,small;bright;clear;pure;fine;old;new;real;good;round
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,statue,big;old;clear;pure;real;strong;fine;good;true;deep
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,vase,old;new;clear;fine;pure;real;good;bright;deep;small
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,cloud,white;big;soft;dark;deep;high;clear;light;thin;slow
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,earthquake,strong;big;deep;clear;pure;real;wild;high;dark;sudden
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,fog,thick;deep;dark;cold;soft;low;clear;pure;real;damp
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,lightning,bright;quick;strong;deep;pure;high;wild;clear;real;fast
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,rain,wet;cold;deep;clear;pure;good;soft;strong;heavy;slow
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,rainbow,bright;clear;pure;deep;good;real;bold;soft;wide;high
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,snow,white;soft;deep;cold;pure;clear;good;bright;still;light
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,storm,strong;wild;deep;dark;cold;clear;pure;real;high;fast
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;clear;real;big;fast;wild;high;pure
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,tide,high;strong;deep;wild;clear;pure;good;real;long;fast
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,volcano,big;deep;strong;hot;wild;pure;real;high;old;dark
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,wind,strong;high;deep;soft;clear;pure;fast;cold;wild;real
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,apple,red;good;fresh;big;small;sweet;pure;high;round;ripe
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,banana,yellow;good;fresh;sweet;ripe;big;long;pure;soft;clear
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,beef,red;good;fresh;raw;pure;big;strong;fine;high;tasty
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,bread,fresh;good;pure;soft;fine;real;high;old;warm;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,broccoli,green;fresh;good;raw;clear;pure;big;small;high;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,cheese,white;good;fresh;pure;soft;hard;real;fine;clear;old
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,chicken,good;fresh;raw;high;pure;strong;real;fine;warm;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,egg,small;fresh;white;good;pure;raw;neat;round;clear;fine
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,fish,fresh;good;raw;high;pure;clear;strong;wild;deep;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,pasta,good;fresh;soft;pure;real;fine;high;clear;neat;warm
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,rice,white;good;fresh;pure;fine;real;clear;high;soft;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Food Items,soup,hot;good;fresh;real;pure;deep;clear;warm;soft;fine
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,artist,good;creative;kind;strong;deep;true;clear;fresh;bold;smart
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,athlete,strong;fast;good;real;clear;brave;bold;high;tough;pure
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,chef,good;kind;strong;smart;clear;neat;fine;real;brave;pure
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,doctor,good;kind;smart;strong;real;clear;brave;pure;fine;true
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,engineer,good;smart;strong;clear;true;real;fine;neat;bold;pure
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,farmer,hard;good;strong;true;pure;real;kind;neat;clear;fresh
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,lawyer,good;strong;true;clear;real;fair;kind;pure;smart;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,musician,good;creative;strong;true;clear;pure;deep;neat;kind;real
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,scientist,smart;good;clear;true;strong;real;neat;pure;kind;deep
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,soldier,brave;strong;good;true;clear;real;pure;tough;firm;bold
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,teacher,good;kind;smart;true;clear;pure;real;strong;neat;fair
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Human Roles,writer,good;clear;true;pure;deep;strong;real;neat;kind;smart
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,book,old;new;good;clear;real;pure;deep;bright;small;fine
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,bridge,long;strong;good;clear;real;high;old;neat;firm;broad
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,drums,loud;deep;strong;clear;good;pure;big;real;fast;bold
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,earth,big;deep;old;good;clear;pure;real;strong;round;wild
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,flute,small;clear;pure;good;soft;real;high;neat;fine;bright
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,key,small;good;clear;real;pure;neat;fine;old;strong;bright
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,knife,sharp;good;strong;clear;real;pure;neat;fine;old;quick
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,lock,strong;good;real;clear;pure;neat;fine;old;safe;tight
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,moon,bright;round;full;clear;pure;big;real;old;high;soft
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,pen,small;good;neat;clear;real;pure;fine;sharp;bright;dark
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,sun,bright;hot;big;strong;clear;pure;real;high;warm;good
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Inanimate Objects,sword,sharp;strong;good;long;clear;real;pure;neat;bright;hard
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,cat,small;cute;good;fast;soft;real;neat;kind;bright;calm
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,dog,good;loyal;strong;kind;fast;real;neat;brave;pure;smart
