Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,anger,strong;deep;fierce;hot;sharp;sudden;wild;intense;heavy;burning
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,courage,brave;strong;bold;true;pure;great;firm;clear;noble;simple
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,fear,intense;deep;strong;cold;sharp;sudden;heavy;dark;clear;real
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,freedom,free;full;open;clear;broad;true;safe;real;bright;pure
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,happiness,true;deep;warm;bright;great;full;real;pure;soft;clear
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;raw;cold;fierce;sharp;hard;heavy;dark
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;open;plain;good;real;simple;fair;direct
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,justice,true;fair;clear;good;pure;strong;deep;solid;real;proper
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,knowledge,deep;full;clear;true;broad;rich;good;real;great;simple
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,love,true;deep;strong;pure;real;kind;warm;good;bright;soft
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,peace,calm;quiet;deep;full;clear;true;still;pure;soft;good
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,wisdom,deep;old;clear;true;full;pure;good;real;wise;quiet
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,bell,small;loud;clear;round;old;bright;heavy;big;soft;strong
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,candle,small;bright;hot;soft;clear;light;thin;calm;old;warm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,carpet,soft;thick;warm;neat;old;clean;bright;rich;deep;full
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,coin,small;round;old;bright;clean;shiny;clear;heavy;fair;real
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,crown,big;old;bright;royal;clear;rich;strong;neat;full;shiny
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,flag,small;bright;bold;clear;neat;clean;big;proud;full;strong
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,mask,small;plain;old;neat;soft;dark;full;light;calm;blank
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,necklace,small;pretty;bright;clear;old;neat;rich;fine;soft;real
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,painting,old;bright;clear;neat;soft;deep;rich;full;fine;new
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,ring,small;round;bright;clear;neat;light;old;fine;rich;pure
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,statue,big;old;tall;strong;clear;neat;real;fine;deep;calm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,vase,small;clear;neat;old;bright;fine;real;pure;rich;full
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,cloud,white;soft;light;high;big;clear;bright;full;thin;grey
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,earthquake,strong;big;deep;sudden;hard;fast;fierce;wild;real;long
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,fog,thick;soft;dark;light;deep;pale;full;cool;heavy;low
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,lightning,fast;bright;strong;clear;sharp;sudden;wild;quick;real;fierce
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,rain,wet;light;soft;heavy;cold;real;clear;fine;deep;long
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,rainbow,bright;clear;full;neat;soft;deep;bold;real;true;rich
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,snow,white;soft;cold;thick;light;fine;pure;deep;calm;mild
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,storm,strong;wild;deep;hard;fast;dark;loud;sudden;real;fierce
