Language,Linguistic_Family,Linguistic_Subfamily,Sample_Size,Total_Responses,Unique_Responses,Response_Entropy,Lexical_Diversity,Response_Consistency,Mean_Response_Length,Code_Switching_Frequency,Mean_Response_Code,Std_Response_Code,Skewness,Kurtosis
AR # Arabic,Semitic,Semitic,120,120,53,5.334230281001894,0.18106995884773663,0.55,2.025,0.0,25.75,15.448975154790473,0.177103664854032,-1.2735465800878718
BN # Bengali,Indo-European-Bengali,Bengali,120,120,55,5.351210929600837,0.17269076305220885,0.5166666666666667,2.075,0.0,23.308333333333334,15.468675785456089,0.42031863795060453,-1.098057092565239
DE # German,Indo-European,Germanic,120,120,53,5.242964660337522,0.21224489795918366,0.55,2.0416666666666665,0.0,25.258333333333333,16.1846098878602,0.214649941713475,-1.4959109677456515
ES # Spanish,Indo-European,Romance,120,120,58,5.415165696173922,0.20085470085470086,0.5416666666666666,1.95,0.0,27.75,16.865769080201076,0.2680875187456981,-1.2620051575939846
FA # Persian,Indo-European,Indo-Iranian,120,120,52,5.258188940216246,0.18473895582329317,0.55,2.075,0.0,24.358333333333334,15.406598063456089,0.2504073560773532,-1.2066605553321126
FR # French,Indo-European,Romance,120,120,52,5.216539005676045,0.1856060606060606,0.55,2.2,0.0,23.233333333333334,15.12929461526728,0.4474753330978841,-1.189270978447167
GA # Irish,Indo-European,Germanic,120,120,53,5.297003656694579,0.17670682730923695,0.5416666666666667,2.075,0.0,22.741666666666667,15.102149865352137,0.4506589872536432,-1.0405744426922843
HE # Hebrew,Semitic,Semitic,120,120,52,5.233578614191033,0.19421487603305784,0.55,2.0166666666666666,0.0,22.191666666666666,15.754520956079736,0.4174302881351885,-1.2822146855904344
HI # Hindi,Indo-European,Indo-Iranian,120,120,53,5.328230667682524,0.18823529411764706,0.5083333333333334,2.125,0.0,23.158333333333335,15.374218588995742,0.3417337343902428,-1.158675388134069
IT # Italian,Indo-European,Romance,120,120,50,5.19242356438474,0.1862348178137652,0.5583333333333333,2.058333333333333,0.0,22.525,14.577929951356834,0.4170206481862088,-1.16179089137573
JA # Japanese,Japonic,Japanese,120,120,55,5.347643951333662,0.17695473251028807,0.525,2.025,0.0,24.066666666666666,15.675742052256693,0.4558664922632983,-1.056292664298465
KO # Korean,Koreanic,Korean,120,120,52,5.2464859060379885,0.18875502008032127,0.5333333333333334,2.075,0.0,23.333333333333332,15.393360762210296,0.3975076587339385,-1.2165369044754981
LV # Latvian,Indo-European,Baltic,120,120,48,5.155005023042669,0.1728395061728395,0.5833333333333334,2.025,0.0,22.641666666666666,14.272231683315061,0.27322736750539023,-1.3831282672064538
PL # Polish,Indo-European,Slavic,120,120,52,5.259922443013784,0.17695473251028807,0.55,2.025,0.0,22.725,15.0205206856043,0.40301842953741535,-1.1726537762817832
PS # Pashto,Indo-European,Indo-Iranian,120,120,55,5.333374722877709,0.20816326530612245,0.525,2.0416666666666665,0.0,23.95,15.696522969541162,0.5060827327344047,-1.0187238868513218
PT # Portuguese,Indo-European,Romance,120,120,52,5.188821868216788,0.2,0.55,2.0416666666666665,0.0,24.941666666666666,15.333675267926546,0.2362040746500854,-1.343667411400647
RU # Russian,Indo-European,Slavic,120,120,52,5.198078706969961,0.18699186991869918,0.55,2.05,0.0,24.483333333333334,14.841935707836615,0.24733557528184832,-1.2045779935205683
SQ # Albanian,Indo-European-Albanian,Albanian,120,120,52,5.203067751088011,0.17928286852589642,0.575,2.091666666666667,0.0,22.183333333333334,14.56764870831559,0.4256155391385821,-1.0107849797827984
SW # Swahili,Niger-Congo,Bantu,120,120,54,5.3634208219259545,0.18032786885245902,0.5416666666666667,2.033333333333333,0.0,23.425,16.179545986625623,0.37836388025382334,-1.1570395962992417
TH # Thai,Tai-Kadai,Tai,120,120,47,5.131506530949991,0.18518518518518517,0.5666666666666667,2.025,0.0,21.875,14.862459699973398,0.2621198428898716,-1.4603631879887466
TR # Turkish,Turkic,Turkic,120,120,51,5.236401084565614,0.17721518987341772,0.5666666666666667,1.975,0.0,23.4,15.381482373295496,0.28941847996991904,-1.3269161555877806
UR # Urdu,Indo-European,Indo-Iranian,120,120,55,5.372749284104717,0.19540229885057472,0.5,2.175,0.0,23.45,15.922651579851054,0.4823024849103793,-1.010970471138212
VI # Vietnamese,Austro-Asiatic,Vietic,120,120,50,5.200332985360289,0.17427385892116182,0.5333333333333333,2.0083333333333333,0.0,24.616666666666667,14.779593664539256,0.20048597132041512,-1.39135898375467
ZH # Mandarin,Sino-Tibetan,Chinese,120,120,51,5.262320360598009,0.20080321285140562,0.5083333333333334,2.075,0.0,22.641666666666666,15.195830477104202,0.353302576071628,-1.2933246714855096
