Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
AR # Arabic,BN # Bengali,B2,0.00082451105,0.024265518,0.21834415584415584
AR # Arabic,DE # German,B2,0.0023372173,0.03025969,0.2781778406778407
AR # Arabic,ES # Spanish,B2,0.0013411641,0.025811017,0.2412795537795538
AR # Arabic,FA # Persian,B2,0.0008891225,0.023760675,0.22136960261960262
AR # Arabic,FR # French,B2,0.002841115,0.03670929,0.28880301796968466
AR # Arabic,GA # Irish,B2,0.0034338236,0.04131786,0.3484154734154734
AR # Arabic,HE # Hebrew,B2,0.0026913285,0.03974127,0.3102918323506559
AR # Arabic,HI # Hindi,B2,0.0024347901,0.03526023,0.29661195286195285
AR # Arabic,IT # Italian,B2,0.0025081635,0.03788021,0.2882664607542058
AR # Arabic,JA # Japanese,B2,0.0014560223,0.026188204,0.24862637362637363
AR # Arabic,KO # Korean,B2,0.0016539097,0.030279726,0.2728243978243978
AR # Arabic,LV # Latvian,B2,0.0014569759,0.026717417,0.23647417397417397
AR # Arabic,PL # Polish,B2,0.0009624362,0.023278845,0.21979698542198542
AR # Arabic,PS # Pashto,B2,0.0009511113,0.022626916,0.21685490435490434
AR # Arabic,PT # Portuguese,B2,0.0014292598,0.030493192,0.2807030932030932
AR # Arabic,RU # Russian,B2,0.001484096,0.028905114,0.24892063954563953
AR # Arabic,SQ # Albanian,B2,0.0009956956,0.02284122,0.2179047804047804
AR # Arabic,SW # Swahili,B2,0.001405716,0.025529709,0.2224904724904725
AR # Arabic,TH # Thai,B2,0.0012641549,0.025523389,0.23356042106042108
AR # Arabic,TR # Turkish,B2,0.0013765693,0.024942515,0.2358104858104858
AR # Arabic,UR # Urdu,B2,0.001292944,0.026611663,0.25214831464831466
AR # Arabic,VI # Vietnamese,B2,0.0010043383,0.02529534,0.24395280645280643
AR # Arabic,ZH # Mandarin,B2,0.0011619925,0.02651479,0.2457056832056832
BN # Bengali,DE # German,B2,0.002121091,0.027828226,0.26104451104451104
BN # Bengali,ES # Spanish,B2,0.0012724996,0.02517461,0.2325082325082325
BN # Bengali,FA # Persian,B2,0.001236856,0.024928384,0.22756872756872756
BN # Bengali,FR # French,B2,0.002534628,0.03298845,0.273663065329732
BN # Bengali,GA # Irish,B2,0.0030103922,0.03555125,0.3235190735190735
BN # Bengali,HE # Hebrew,B2,0.002038002,0.033468004,0.2678224553224553
BN # Bengali,HI # Hindi,B2,0.002228856,0.030143542,0.26806989306989304
BN # Bengali,IT # Italian,B2,0.0018226504,0.030496515,0.24770728998670175
BN # Bengali,JA # Japanese,B2,0.0010601878,0.023597606,0.23486004736004734
BN # Bengali,KO # Korean,B2,0.00111866,0.02342142,0.22561697561697558
BN # Bengali,LV # Latvian,B2,0.0014266968,0.023756444,0.21803890553890554
BN # Bengali,PL # Polish,B2,0.0011123419,0.024450634,0.22964824527324523
BN # Bengali,PS # Pashto,B2,0.0007544756,0.021709554,0.2115060865060865
BN # Bengali,PT # Portuguese,B2,0.00096035004,0.025370216,0.24484774484774485
BN # Bengali,RU # Russian,B2,0.0016522408,0.029397838,0.25817238317238317
BN # Bengali,SQ # Albanian,B2,0.0008621216,0.021946423,0.2131179006179006
BN # Bengali,SW # Swahili,B2,0.0007945895,0.01851884,0.17413142413142413
BN # Bengali,TH # Thai,B2,0.0010560751,0.022216382,0.2138093388093388
BN # Bengali,TR # Turkish,B2,0.0016292334,0.026387027,0.24233867983867985
BN # Bengali,UR # Urdu,B2,0.0011188388,0.02384977,0.23005004255004252
BN # Bengali,VI # Vietnamese,B2,0.0008761287,0.019728366,0.19710613460613458
BN # Bengali,ZH # Mandarin,B2,0.0007727742,0.021549575,0.21685721685721684
DE # German,ES # Spanish,B2,0.0018499494,0.025708519,0.2508787508787509
DE # German,FA # Persian,B2,0.0026970506,0.030183742,0.27818015318015316
DE # German,FR # French,B2,0.0026859045,0.027630784,0.22256981172422347
DE # German,GA # Irish,B2,0.002107799,0.028323151,0.25654438154438153
DE # German,HE # Hebrew,B2,0.0017735958,0.026674125,0.22755080567580566
DE # German,HI # Hindi,B2,0.0014947653,0.028403789,0.2530802530802531
DE # German,IT # Italian,B2,0.0021112561,0.027522987,0.2318728724978725
DE # German,JA # Japanese,B2,0.0029307604,0.03247552,0.29982979982979985
DE # German,KO # Korean,B2,0.0013639331,0.022561984,0.22677091427091428
DE # German,LV # Latvian,B2,0.001496017,0.024088796,0.23196016946016945
DE # German,PL # Polish,B2,0.0015333295,0.02605217,0.24742676305176303
DE # German,PS # Pashto,B2,0.0017930269,0.024049371,0.22985347985347981
DE # German,PT # Portuguese,B2,0.0009902716,0.01896132,0.19224294224294225
DE # German,RU # Russian,B2,0.0018906593,0.02585807,0.22727735227735227
DE # German,SQ # Albanian,B2,0.0016743541,0.023307279,0.22701603951603952
DE # German,SW # Swahili,B2,0.0017058849,0.02304215,0.23285048285048285
DE # German,TH # Thai,B2,0.002333641,0.025842382,0.2442256817256817
DE # German,TR # Turkish,B2,0.002489388,0.025512584,0.2427688052688053
DE # German,UR # Urdu,B2,0.0019180775,0.024661725,0.23985273985273986
DE # German,VI # Vietnamese,B2,0.001766324,0.027264973,0.25314962814962816
DE # German,ZH # Mandarin,B2,0.001619041,0.022562273,0.22787629037629037
ES # Spanish,FA # Persian,B2,0.0012268424,0.02541036,0.23959605209605211
ES # Spanish,FR # French,B2,0.0020756125,0.027014118,0.227416374475198
ES # Spanish,GA # Irish,B2,0.002177298,0.031723004,0.2986064861064861
ES # Spanish,HE # Hebrew,B2,0.0017854571,0.028144415,0.24091880341880342
ES # Spanish,HI # Hindi,B2,0.0014264584,0.027915053,0.26092252654752657
ES # Spanish,IT # Italian,B2,0.0012497902,0.02551743,0.2115488677988678
ES # Spanish,JA # Japanese,B2,0.0016258359,0.02949257,0.2839336589336589
ES # Spanish,KO # Korean,B2,0.0012437105,0.025439527,0.24528480778480777
ES # Spanish,LV # Latvian,B2,0.0011689663,0.021986581,0.20288507788507787
ES # Spanish,PL # Polish,B2,0.0010742545,0.022613067,0.21341679154179155
ES # Spanish,PS # Pashto,B2,0.0013514757,0.024691915,0.23536186036186033
ES # Spanish,PT # Portuguese,B2,0.0009743571,0.023146834,0.2216117216117216
ES # Spanish,RU # Russian,B2,0.0012831688,0.023145363,0.2233137233137233
ES # Spanish,SQ # Albanian,B2,0.0009806156,0.023182236,0.22343859843859842
ES # Spanish,SW # Swahili,B2,0.00091922283,0.019880708,0.19357725607725607
ES # Spanish,TH # Thai,B2,0.0012238622,0.025442591,0.23026973026973024
ES # Spanish,TR # Turkish,B2,0.00092613697,0.02003284,0.19365819365819364
ES # Spanish,UR # Urdu,B2,0.0013988018,0.02506563,0.23739917489917492
ES # Spanish,VI # Vietnamese,B2,0.0007632971,0.022457892,0.2324203574203574
ES # Spanish,ZH # Mandarin,B2,0.0011498928,0.024185337,0.22838041588041585
FA # Persian,FR # French,B2,0.0025841594,0.034750093,0.27816821957043836
FA # Persian,GA # Irish,B2,0.0033955574,0.040409148,0.3464059089059089
FA # Persian,HE # Hebrew,B2,0.0024428964,0.037435003,0.29238836009669344
FA # Persian,HI # Hindi,B2,0.0021243095,0.033872023,0.288280007030007
FA # Persian,IT # Italian,B2,0.0023991466,0.036010027,0.28219698401586946
FA # Persian,JA # Japanese,B2,0.0013988614,0.023724765,0.23001893939393941
FA # Persian,KO # Korean,B2,0.001398027,0.026822502,0.24816965441965444
FA # Persian,LV # Latvian,B2,0.0013049841,0.024793366,0.22941005753505753
FA # Persian,PL # Polish,B2,0.00089269876,0.021551512,0.20771647334147333
FA # Persian,PS # Pashto,B2,0.0008445382,0.02097956,0.19993964368964368
FA # Persian,PT # Portuguese,B2,0.0014383197,0.027449556,0.26536021848521846
FA # Persian,RU # Russian,B2,0.0014151335,0.029476881,0.2475679617223735
FA # Persian,SQ # Albanian,B2,0.0010730028,0.02321251,0.2197987197987198
FA # Persian,SW # Swahili,B2,0.0015159845,0.025023656,0.2282792439042439
FA # Persian,TH # Thai,B2,0.0010713339,0.02260384,0.2049369611869612
FA # Persian,TR # Turkish,B2,0.0011582971,0.022607304,0.20489232989232986
FA # Persian,UR # Urdu,B2,0.0010894537,0.025335414,0.2430885087135087
FA # Persian,VI # Vietnamese,B2,0.0005939007,0.01780688,0.17133560883560883
FA # Persian,ZH # Mandarin,B2,0.0011438727,0.024745217,0.23842881655381654
FR # French,GA # Irish,B2,0.0019940734,0.027236544,0.2656787656787657
FR # French,HE # Hebrew,B2,0.0008573532,0.017733758,0.18528462278462277
FR # French,HI # Hindi,B2,0.0017690659,0.026311709,0.25746013246013244
