Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
AR # Arabic,BN # Bengali,Perfect,0.0010505915,0.02142338,0.18917193917193917
AR # Arabic,DE # German,Perfect,0.0022313595,0.036866788,0.3067950567950568
AR # Arabic,ES # Spanish,Perfect,0.0004339218,0.019413766,0.1879255004255004
AR # Arabic,FA # Persian,Perfect,0.00082975626,0.024679026,0.21663752913752912
AR # Arabic,FR # French,Perfect,0.0014064312,0.027820693,0.24475061975061976
AR # Arabic,GA # Irish,Perfect,0.0015804172,0.030420793,0.27444546194546193
AR # Arabic,HE # Hebrew,Perfect,0.0008673668,0.020023631,0.17965830465830465
AR # Arabic,HI # Hindi,Perfect,0.0006597638,0.019793145,0.1877983127983128
AR # Arabic,IT # Italian,Perfect,0.0009799004,0.020825252,0.1830854330854331
AR # Arabic,JA # Japanese,Perfect,0.00076562166,0.02364675,0.22677322677322678
AR # Arabic,KO # Korean,Perfect,0.00055742264,0.022367544,0.20496864246864246
AR # Arabic,LV # Latvian,Perfect,0.0010419488,0.026884265,0.221148643023643
AR # Arabic,PL # Polish,Perfect,0.0022771358,0.035134867,0.29435726310726307
AR # Arabic,PS # Pashto,Perfect,0.0017386079,0.028767236,0.23440275002775002
AR # Arabic,PT # Portuguese,Perfect,0.001001656,0.020622028,0.18726412476412477
AR # Arabic,RU # Russian,Perfect,0.0011483431,0.0227345,0.21746771746771745
AR # Arabic,SQ # Albanian,Perfect,0.0006392002,0.016093694,0.1528957153957154
AR # Arabic,SW # Swahili,Perfect,0.0019628406,0.030047784,0.25183612683612683
AR # Arabic,TH # Thai,Perfect,0.0016270876,0.027070742,0.21072299840682193
AR # Arabic,TR # Turkish,Perfect,0.00029921532,0.017313013,0.16378991378991378
AR # Arabic,UR # Urdu,Perfect,0.00052702427,0.019641412,0.17887899137899135
AR # Arabic,VI # Vietnamese,Perfect,0.0007804036,0.022045193,0.2126137751137751
AR # Arabic,ZH # Mandarin,Perfect,0.0006066561,0.019859739,0.18245065120065118
BN # Bengali,DE # German,Perfect,0.0014541149,0.03430146,0.2914244320494321
BN # Bengali,ES # Spanish,Perfect,0.00087189674,0.021372296,0.1937813344063344
BN # Bengali,FA # Persian,Perfect,0.0016643405,0.030566718,0.2547244422244422
BN # Bengali,FR # French,Perfect,0.00087589025,0.024730487,0.2232142857142857
BN # Bengali,GA # Irish,Perfect,0.0010961294,0.029576613,0.26332232582232584
BN # Bengali,HE # Hebrew,Perfect,0.0002169013,0.014526165,0.1444111444111444
BN # Bengali,HI # Hindi,Perfect,0.00063323975,0.019144254,0.1763238123532241
BN # Bengali,IT # Italian,Perfect,0.0002643466,0.017989106,0.1731162356162356
BN # Bengali,JA # Japanese,Perfect,0.0014333725,0.02684116,0.24334693084693082
BN # Bengali,KO # Korean,Perfect,0.0010618567,0.025047503,0.21610334110334112
BN # Bengali,LV # Latvian,Perfect,0.0010391474,0.024843358,0.2075424575424575
BN # Bengali,PL # Polish,Perfect,0.001473546,0.026712088,0.24923687423687424
BN # Bengali,PS # Pashto,Perfect,0.00075024366,0.020689724,0.18351151163651164
BN # Bengali,PT # Portuguese,Perfect,0.00038301945,0.019659901,0.190728389257801
BN # Bengali,RU # Russian,Perfect,0.00055521727,0.021213971,0.20209940522440523
BN # Bengali,SQ # Albanian,Perfect,0.0002760291,0.014982117,0.14475801975801975
BN # Bengali,SW # Swahili,Perfect,0.0007171035,0.022962507,0.2118136493136493
BN # Bengali,TH # Thai,Perfect,0.0006687641,0.020239826,0.17991846116846116
BN # Bengali,TR # Turkish,Perfect,0.0009741187,0.020410059,0.1863206238206238
BN # Bengali,UR # Urdu,Perfect,0.0005328059,0.017565837,0.1688057313057313
BN # Bengali,VI # Vietnamese,Perfect,0.00084656477,0.022457184,0.20401820401820403
BN # Bengali,ZH # Mandarin,Perfect,0.0014399886,0.023150755,0.19955578871020047
DE # German,ES # Spanish,Perfect,0.0021746755,0.036291864,0.305469992969993
DE # German,FA # Persian,Perfect,0.0023839474,0.039926417,0.3342271154771155
DE # German,FR # French,Perfect,0.0010930896,0.031498894,0.2717236467236467
DE # German,GA # Irish,Perfect,0.00043785572,0.020442221,0.1962181337181337
DE # German,HE # Hebrew,Perfect,0.0011766553,0.031579055,0.27489639989639986
DE # German,HI # Hindi,Perfect,0.0014451146,0.028894832,0.2577838827838828
DE # German,IT # Italian,Perfect,0.0011737943,0.032519568,0.28233340733340734
DE # German,JA # Japanese,Perfect,0.0030027032,0.040649828,0.35226868039368037
DE # German,KO # Korean,Perfect,0.0019415021,0.03785546,0.32563963813963814
DE # German,LV # Latvian,Perfect,0.0015884042,0.03681596,0.3061417748917749
DE # German,PL # Polish,Perfect,0.00056773424,0.023734085,0.21813834313834313
DE # German,PS # Pashto,Perfect,0.00094383955,0.030282179,0.2636067636067636
DE # German,PT # Portuguese,Perfect,0.001120925,0.02969228,0.266513579013579
DE # German,RU # Russian,Perfect,0.0012886524,0.02913327,0.26502664002664006
DE # German,SQ # Albanian,Perfect,0.0017358661,0.037033956,0.30860921485921483
DE # German,SW # Swahili,Perfect,0.0006994605,0.02407602,0.22013865763865761
DE # German,TH # Thai,Perfect,0.0010091662,0.033003725,0.27740083990083986
DE # German,TR # Turkish,Perfect,0.001954496,0.035554476,0.2934617465867466
DE # German,UR # Urdu,Perfect,0.0013720989,0.033839907,0.291511729011729
DE # German,VI # Vietnamese,Perfect,0.0023650527,0.038991578,0.33085433085433086
DE # German,ZH # Mandarin,Perfect,0.0017969012,0.031257384,0.273966773966774
