NounCategory,CosineDistance_mean,CosineDistance_min,CosineDistance_max,CosineDistance_count,CosineDistance_std,JaccardDistance_mean,JaccardDistance_min,JaccardDistance_max,JaccardDistance_count,JaccardDistance_std,CosineDistance_percentile,JaccardDistance_percentile,combined_uniqueness_score
Spatial Concepts,0.05831806553148251,0.0,0.2982819974422455,3312,0.04613068287268706,0.383358482696101,0.0,0.9473684210526316,3312,0.19128022281663074,100.0,100.0,100.0
Human Roles,0.02856555621988156,0.0,0.11435600370168686,3312,0.017677517018781667,0.2922854621224187,0.0,0.75,3312,0.14182209679962604,34.13626057206313,64.20248108487745,49.16937082847029
Time Concepts,0.032223277940956994,0.0,0.12432999908924103,3312,0.025221040847455016,0.264613305374175,0.0,0.75,3312,0.18211330561816752,42.23343408484923,53.32555454420065,47.77949431452494
Environmental Phenomena,0.02567217601642323,0.0,0.09943000227212906,3312,0.017800817044151828,0.2668100568915786,0.0,0.75,3312,0.154735346322732,27.731125536537743,54.18901831756324,40.96007192705049
Abstract Concepts,0.027062325753685428,0.0,0.10806799679994583,3312,0.0184521423516582,0.2579700894918286,0.0,0.6666666666666667,3312,0.1394616419525453,30.8085284910896,50.71434603582426,40.76143726345693
Food Items,0.02549932038168238,0.0,0.12445800006389618,3312,0.020673249546808083,0.22161875966223793,0.0,0.6666666666666667,3312,0.15595795159568682,27.3484714764722,36.42594965929442,31.887210567883308
Inanimate Objects,0.024909801912278456,0.0,0.1350329965353012,3312,0.022729122843581886,0.21916921645182513,0.0,0.6666666666666667,3312,0.15699067126672145,26.04344236278878,35.46312259090683,30.753282476847804
Places,0.023750077553566264,0.0,0.1152689978480339,3312,0.01856469324728726,0.21556925361273185,0.0,0.6666666666666667,3312,0.1461053916298194,23.47613678965288,34.04810706803945,28.762121928846163
Social Relationships,0.01921580467971116,0.0,0.11212600022554398,3312,0.01505711494945174,0.22336610651828043,0.0,0.6666666666666667,3312,0.13976981381208714,13.438524031312888,37.11276867261412,25.275646351963506
Neutral Animals,0.01619227806220989,0.0,0.072503000497818,3312,0.015237912263134855,0.1847877364181712,0.0,0.5714285714285714,3312,0.1395122606905393,6.745281212600893,21.949003106543362,14.347142159572128
Cultural Artifacts,0.01681309444209402,0.0,0.07646399736404419,3312,0.013109526403453645,0.1744157613722831,0.0,0.5714285714285714,3312,0.12077045946616076,8.119595151941123,17.87215388650496,12.995874519223042
Plants,0.013145244234031128,0.0,0.0644960030913353,3312,0.012947925059383851,0.1289469387295474,0.0,0.46153846153846156,3312,0.11596732804948329,0.0,0.0,0.0
