Language,Response,Count,Percentage
AR # Arabic,Fear,6,16.67
AR # Arabic,Threatened,3,8.33
AR # Arabic,Intimidating,3,8.33
AR # Arabic,Playful,3,8.33
AR # Arabic,Amusing,3,8.33
AR # Arabic,Alarmed,3,8.33
AR # Arabic,Beautiful,3,8.33
AR # Arabic,Awe,3,8.33
AR # Arabic,Curious,2,5.56
AR # Arabic,Caution,2,5.56
AR # Arabic,Startling,2,5.56
AR # Arabic,Suspicious,1,2.78
AR # Arabic,Friendliness,1,2.78
AR # Arabic,Peaceful,1,2.78
BN # Bengali,Fear,6,16.67
BN # Bengali,Curious,3,8.33
BN # Bengali,Threatened,3,8.33
BN # Bengali,Intimidating,3,8.33
BN # Bengali,Playful,3,8.33
BN # Bengali,Alarmed,3,8.33
BN # Bengali,Beautiful,3,8.33
BN # Bengali,Awe,3,8.33
BN # Bengali,Caution,2,5.56
BN # Bengali,Amusing,2,5.56
BN # Bengali,Startling,2,5.56
BN # Bengali,Threatening,1,2.78
BN # Bengali,Friendliness,1,2.78
BN # Bengali,Peaceful,1,2.78
DE # German,Fear,5,13.89
DE # German,Threatened,3,8.33
DE # German,Intimidating,3,8.33
DE # German,Playful,3,8.33
DE # German,Alarmed,3,8.33
DE # German,Beautiful,3,8.33
DE # German,Awe,3,8.33
DE # German,Curious,2,5.56
DE # German,Amusing,2,5.56
DE # German,Startling,2,5.56
DE # German,Friendliness,2,5.56
DE # German,Caution,1,2.78
DE # German,Respect,1,2.78
DE # German,Threatening,1,2.78
DE # German,Suspicious,1,2.78
DE # German,Peaceful,1,2.78
ES # Spanish,Fear,6,16.67
ES # Spanish,Curious,3,8.33
ES # Spanish,Threatened,3,8.33
ES # Spanish,Intimidating,3,8.33
ES # Spanish,Playful,3,8.33
ES # Spanish,Amusing,3,8.33
ES # Spanish,Alarmed,3,8.33
ES # Spanish,Beautiful,3,8.33
ES # Spanish,Awe,3,8.33
ES # Spanish,Friendliness,2,5.56
ES # Spanish,Peaceful,2,5.56
ES # Spanish,Caution,1,2.78
ES # Spanish,Startling,1,2.78
FA # Persian,Fear,6,16.67
FA # Persian,Curious,3,8.33
FA # Persian,Threatened,3,8.33
FA # Persian,Intimidating,3,8.33
FA # Persian,Playful,3,8.33
FA # Persian,Alarmed,3,8.33
FA # Persian,Beautiful,3,8.33
FA # Persian,Awe,3,8.33
FA # Persian,Amusing,2,5.56
FA # Persian,Startling,2,5.56
FA # Persian,Friendliness,2,5.56
FA # Persian,Caution,1,2.78
FA # Persian,Threatening,1,2.78
FA # Persian,Peaceful,1,2.78
FR # French,Fear,6,16.67
FR # French,Curious,3,8.33
FR # French,Threatened,3,8.33
FR # French,Intimidating,3,8.33
FR # French,Playful,3,8.33
FR # French,Amusing,3,8.33
FR # French,Alarmed,3,8.33
FR # French,Beautiful,3,8.33
FR # French,Awe,3,8.33
FR # French,Friendliness,2,5.56
FR # French,Peaceful,2,5.56
FR # French,Caution,1,2.78
FR # French,Startling,1,2.78
GA # Irish,Fear,5,13.89
GA # Irish,Curious,3,8.33
GA # Irish,Threatened,3,8.33
GA # Irish,Intimidating,3,8.33
GA # Irish,Playful,3,8.33
GA # Irish,Amusing,3,8.33
GA # Irish,Alarmed,3,8.33
GA # Irish,Beautiful,3,8.33
GA # Irish,Awe,3,8.33
GA # Irish,Caution,2,5.56
GA # Irish,Startling,2,5.56
GA # Irish,Respect,1,2.78
GA # Irish,Friendliness,1,2.78
GA # Irish,Peaceful,1,2.78
HE # Hebrew,Fear,6,16.67
HE # Hebrew,Curious,3,8.33
HE # Hebrew,Threatened,3,8.33
HE # Hebrew,Intimidating,3,8.33
HE # Hebrew,Playful,3,8.33
HE # Hebrew,Alarmed,3,8.33
HE # Hebrew,Beautiful,3,8.33
HE # Hebrew,Startling,3,8.33
HE # Hebrew,Awe,3,8.33
HE # Hebrew,Caution,2,5.56
HE # Hebrew,Amusing,2,5.56
HE # Hebrew,Threatening,1,2.78
HE # Hebrew,Friendliness,1,2.78
HI # Hindi,Fear,6,16.67
HI # Hindi,Threatened,3,8.33
HI # Hindi,Playful,3,8.33
HI # Hindi,Amusing,3,8.33
HI # Hindi,Alarmed,3,8.33
HI # Hindi,Beautiful,3,8.33
HI # Hindi,Awe,3,8.33
HI # Hindi,Curious,2,5.56
HI # Hindi,Caution,2,5.56
HI # Hindi,Intimidating,2,5.56
HI # Hindi,Startling,2,5.56
HI # Hindi,Reassuring,1,2.78
HI # Hindi,Suspicious,1,2.78
HI # Hindi,Friendliness,1,2.78
HI # Hindi,Peaceful,1,2.78
IT # Italian,Fear,5,13.89
IT # Italian,Curious,3,8.33
IT # Italian,Threatened,3,8.33
IT # Italian,Intimidating,3,8.33
IT # Italian,Playful,3,8.33
IT # Italian,Alarmed,3,8.33
IT # Italian,Beautiful,3,8.33
IT # Italian,Awe,3,8.33
IT # Italian,Amusing,2,5.56
IT # Italian,Friendliness,2,5.56
IT # Italian,Peaceful,2,5.56
IT # Italian,Caution,1,2.78
IT # Italian,Startling,1,2.78
IT # Italian,Respect,1,2.78
IT # Italian,Threatening,1,2.78
JA # Japanese,Fear,6,16.67
JA # Japanese,Threatened,3,8.33
JA # Japanese,Intimidating,3,8.33
JA # Japanese,Playful,3,8.33
JA # Japanese,Alarmed,3,8.33
JA # Japanese,Beautiful,3,8.33
JA # Japanese,Awe,3,8.33
JA # Japanese,Curious,2,5.56
JA # Japanese,Caution,2,5.56
JA # Japanese,Amusing,2,5.56
JA # Japanese,Startling,2,5.56
JA # Japanese,Threatening,1,2.78
JA # Japanese,Suspicious,1,2.78
JA # Japanese,Friendliness,1,2.78
JA # Japanese,Peaceful,1,2.78
KO # Korean,Fear,6,16.67
KO # Korean,Threatened,3,8.33
KO # Korean,Intimidating,3,8.33
KO # Korean,Playful,3,8.33
KO # Korean,Alarmed,3,8.33
KO # Korean,Beautiful,3,8.33
KO # Korean,Startling,3,8.33
KO # Korean,Awe,3,8.33
KO # Korean,Curious,2,5.56
KO # Korean,Amusing,2,5.56
KO # Korean,Friendliness,2,5.56
KO # Korean,Caution,1,2.78
KO # Korean,Threatening,1,2.78
KO # Korean,Suspicious,1,2.78
LV # Latvian,Fear,6,16.67
LV # Latvian,Curious,3,8.33
LV # Latvian,Threatened,3,8.33
LV # Latvian,Intimidating,3,8.33
LV # Latvian,Playful,3,8.33
LV # Latvian,Amusing,3,8.33
LV # Latvian,Alarmed,3,8.33
LV # Latvian,Beautiful,3,8.33
LV # Latvian,Startling,3,8.33
LV # Latvian,Awe,3,8.33
LV # Latvian,Caution,2,5.56
LV # Latvian,Friendliness,1,2.78
PL # Polish,Fear,6,16.67
PL # Polish,Curious,3,8.33
PL # Polish,Threatened,3,8.33
PL # Polish,Intimidating,3,8.33
PL # Polish,Playful,3,8.33
PL # Polish,Amusing,3,8.33
PL # Polish,Alarmed,3,8.33
PL # Polish,Beautiful,3,8.33
PL # Polish,Awe,3,8.33
PL # Polish,Startling,2,5.56
PL # Polish,Friendliness,2,5.56
PL # Polish,Caution,1,2.78
PL # Polish,Peaceful,1,2.78
PS # Pashto,Fear,6,16.67
PS # Pashto,Curious,3,8.33
PS # Pashto,Threatened,3,8.33
PS # Pashto,Intimidating,3,8.33
PS # Pashto,Playful,3,8.33
PS # Pashto,Alarmed,3,8.33
PS # Pashto,Beautiful,3,8.33
PS # Pashto,Awe,3,8.33
PS # Pashto,Caution,2,5.56
PS # Pashto,Amusing,2,5.56
PS # Pashto,Startling,2,5.56
PS # Pashto,Threatening,1,2.78
PS # Pashto,Friendliness,1,2.78
PS # Pashto,Peaceful,1,2.78
PT # Portuguese,Fear,6,16.67
PT # Portuguese,Curious,3,8.33
PT # Portuguese,Threatened,3,8.33
PT # Portuguese,Intimidating,3,8.33
PT # Portuguese,Playful,3,8.33
PT # Portuguese,Amusing,3,8.33
PT # Portuguese,Alarmed,3,8.33
PT # Portuguese,Beautiful,3,8.33
PT # Portuguese,Awe,3,8.33
PT # Portuguese,Friendliness,2,5.56
PT # Portuguese,Peaceful,2,5.56
PT # Portuguese,Caution,1,2.78
PT # Portuguese,Startling,1,2.78
RU # Russian,Fear,6,16.67
RU # Russian,Threatened,3,8.33
RU # Russian,Intimidating,3,8.33
RU # Russian,Playful,3,8.33
RU # Russian,Alarmed,3,8.33
RU # Russian,Beautiful,3,8.33
RU # Russian,Startling,3,8.33
RU # Russian,Awe,3,8.33
RU # Russian,Curious,2,5.56
RU # Russian,Caution,2,5.56
RU # Russian,Amusing,2,5.56
RU # Russian,Threatening,1,2.78
RU # Russian,Suspicious,1,2.78
RU # Russian,Friendliness,1,2.78
SQ # Albanian,Fear,6,16.67
SQ # Albanian,Curious,3,8.33
SQ # Albanian,Threatened,3,8.33
SQ # Albanian,Intimidating,3,8.33
SQ # Albanian,Playful,3,8.33
SQ # Albanian,Amusing,3,8.33
SQ # Albanian,Alarmed,3,8.33
SQ # Albanian,Beautiful,3,8.33
SQ # Albanian,Awe,3,8.33
SQ # Albanian,Caution,2,5.56
SQ # Albanian,Startling,2,5.56
SQ # Albanian,Friendliness,1,2.78
SQ # Albanian,Peaceful,1,2.78
SW # Swahili,Fear,5,13.89
SW # Swahili,Curious,3,8.33
SW # Swahili,Threatened,3,8.33
SW # Swahili,Intimidating,3,8.33
SW # Swahili,Playful,3,8.33
SW # Swahili,Alarmed,3,8.33
SW # Swahili,Beautiful,3,8.33
SW # Swahili,Awe,3,8.33
SW # Swahili,Amusing,2,5.56
SW # Swahili,Startling,2,5.56
SW # Swahili,Friendliness,2,5.56
SW # Swahili,Caution,1,2.78
SW # Swahili,Respect,1,2.78
SW # Swahili,Threatening,1,2.78
SW # Swahili,Peaceful,1,2.78
TH # Thai,Fear,6,16.67
TH # Thai,Curious,3,8.33
TH # Thai,Threatened,3,8.33
TH # Thai,Playful,3,8.33
TH # Thai,Amusing,3,8.33
TH # Thai,Alarmed,3,8.33
TH # Thai,Beautiful,3,8.33
TH # Thai,Startling,3,8.33
TH # Thai,Awe,3,8.33
TH # Thai,Caution,2,5.56
TH # Thai,Reassuring,2,5.56
TH # Thai,Friendliness,1,2.78
TH # Thai,Intimidating,1,2.78
TR # Turkish,Fear,6,16.67
TR # Turkish,Curious,3,8.33
TR # Turkish,Threatened,3,8.33
TR # Turkish,Intimidating,3,8.33
TR # Turkish,Playful,3,8.33
TR # Turkish,Alarmed,3,8.33
TR # Turkish,Beautiful,3,8.33
TR # Turkish,Awe,3,8.33
TR # Turkish,Amusing,2,5.56
TR # Turkish,Startling,2,5.56
TR # Turkish,Friendliness,2,5.56
TR # Turkish,Caution,1,2.78
TR # Turkish,Threatening,1,2.78
TR # Turkish,Peaceful,1,2.78
UR # Urdu,Fear,6,16.67
UR # Urdu,Curious,3,8.33
UR # Urdu,Threatened,3,8.33
UR # Urdu,Intimidating,3,8.33
UR # Urdu,Playful,3,8.33
UR # Urdu,Alarmed,3,8.33
UR # Urdu,Beautiful,3,8.33
UR # Urdu,Awe,3,8.33
UR # Urdu,Caution,2,5.56
UR # Urdu,Amusing,2,5.56
UR # Urdu,Startling,2,5.56
UR # Urdu,Threatening,1,2.78
UR # Urdu,Friendliness,1,2.78
UR # Urdu,Peaceful,1,2.78
VI # Vietnamese,Fear,6,16.67
VI # Vietnamese,Threatened,3,8.33
VI # Vietnamese,Playful,3,8.33
VI # Vietnamese,Amusing,3,8.33
VI # Vietnamese,Alarmed,3,8.33
VI # Vietnamese,Beautiful,3,8.33
VI # Vietnamese,Awe,3,8.33
VI # Vietnamese,Curious,2,5.56
VI # Vietnamese,Intimidating,2,5.56
VI # Vietnamese,Startling,2,5.56
VI # Vietnamese,Friendliness,2,5.56
VI # Vietnamese,Caution,1,2.78
VI # Vietnamese,Reassuring,1,2.78
VI # Vietnamese,Suspicious,1,2.78
VI # Vietnamese,Peaceful,1,2.78
ZH # Mandarin,Fear,6,16.67
ZH # Mandarin,Curious,3,8.33
ZH # Mandarin,Threatened,3,8.33
ZH # Mandarin,Intimidating,3,8.33
ZH # Mandarin,Playful,3,8.33
ZH # Mandarin,Amusing,3,8.33
ZH # Mandarin,Alarmed,3,8.33
ZH # Mandarin,Beautiful,3,8.33
ZH # Mandarin,Awe,3,8.33
ZH # Mandarin,Caution,2,5.56
ZH # Mandarin,Startling,2,5.56
ZH # Mandarin,Friendliness,1,2.78
ZH # Mandarin,Peaceful,1,2.78
