Model,SystemPromptType,Temperature,Language,Proficiency,Experiment,ImageFile,TrueEmotionLabel,PredictedEmotion
grok-3,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,DE # German,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,DE # German,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,DE # German,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,DE # German,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,DE # German,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,DE # German,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,DE # German,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,DE # German,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,FA # Persian,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,FA # Persian,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,FA # Persian,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,FA # Persian,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,FA # Persian,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,FA # Persian,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,FA # Persian,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,FA # Persian,Perfect,sound_waves,h.png,surprised,
