Language,Question,Response,Count,Percentage
AR # Arabic,"At a funeral, which basic color (red, orange, yellow, green, blue, indigo, violet, white) best suits",White,1,0.83
AR # Arabic,"At a funeral, which basic color (red, orange, yellow, green, blue, indigo, violet, white) best suits",Your Answer: White,1,0.83
AR # Arabic,"At a funeral, which basic color (red, orange, yellow, green, blue, indigo, violet, white) best suits",Your Answer: white,1,0.83
AR # Arabic,"At a wedding, which basic color (red, orange, yellow, green, blue, indigo, violet, white) best suits",White,1,0.83
AR # Arabic,"At a wedding, which basic color (red, orange, yellow, green, blue, indigo, violet, white) best suits",Your Answer: White,1,0.83
AR # Arabic,"At a wedding, which basic color (red, orange, yellow, green, blue, indigo, violet, white) best suits",Your Answer: white,1,0.83
AR # Arabic,"For a baby's nursery, which basic color (red, orange, yellow, green, blue, indigo, violet, white) is",Blue,1,0.83
AR # Arabic,"For a baby's nursery, which basic color (red, orange, yellow, green, blue, indigo, violet, white) is",Your Answer: Blue,1,0.83
AR # Arabic,"For a baby's nursery, which basic color (red, orange, yellow, green, blue, indigo, violet, white) is",Your Answer: blue,1,0.83
AR # Arabic,"For a job-interview slide deck, which basic color (red, orange, yellow, green, blue, indigo, violet,",Blue,1,0.83
AR # Arabic,"For a job-interview slide deck, which basic color (red, orange, yellow, green, blue, indigo, violet,",Your Answer: Blue,1,0.83
AR # Arabic,"For a job-interview slide deck, which basic color (red, orange, yellow, green, blue, indigo, violet,",Your Answer: blue,1,0.83
AR # Arabic,"For a relaxing phone case, which basic color (red, orange, yellow, green, blue, indigo, violet, whit",Your Answer: Blue,1,0.83
AR # Arabic,"For a relaxing phone case, which basic color (red, orange, yellow, green, blue, indigo, violet, whit",Your Answer: blue,1,0.83
AR # Arabic,"For a relaxing phone case, which basic color (red, orange, yellow, green, blue, indigo, violet, whit",blue,1,0.83
AR # Arabic,"For a water bottle, which basic color (red, orange, yellow, green, blue, indigo, violet, white) best",Blue,1,0.83
AR # Arabic,"For a water bottle, which basic color (red, orange, yellow, green, blue, indigo, violet, white) best",Your Answer: Blue,1,0.83
AR # Arabic,"For a water bottle, which basic color (red, orange, yellow, green, blue, indigo, violet, white) best",Your Answer: blue,1,0.83
AR # Arabic,"For a welcoming front door, which basic color (red, orange, yellow, green, blue, indigo, violet, whi",Your Answer: Yellow,1,0.83
AR # Arabic,"For a welcoming front door, which basic color (red, orange, yellow, green, blue, indigo, violet, whi",Your Answer: green,1,0.83
AR # Arabic,"For a welcoming front door, which basic color (red, orange, yellow, green, blue, indigo, violet, whi",green,1,0.83
AR # Arabic,"For balloons at a child's birthday party, which basic color (red, orange, yellow, green, blue, indig",Red,2,1.67
AR # Arabic,"For balloons at a child's birthday party, which basic color (red, orange, yellow, green, blue, indig",Your Answer: Red,1,0.83
AR # Arabic,"Here is the hex code `#0000FF`. Which one of the eight basic colors (red, orange, yellow, green, blu",Your Answer: blue,1,0.83
AR # Arabic,"Here is the hex code `#0000FF`. Which one of the eight basic colors (red, orange, yellow, green, blu",blue,2,1.67
AR # Arabic,"Here is the hex code `#00FF00`. Which one of the eight basic colors (red, orange, yellow, green, blu",Your Answer: green,2,1.67
AR # Arabic,"Here is the hex code `#00FF00`. Which one of the eight basic colors (red, orange, yellow, green, blu",green,1,0.83
AR # Arabic,"Here is the hex code `#4B0082`. Which one of the eight basic colors (red, orange, yellow, green, blu",Your Answer: indigo,1,0.83
AR # Arabic,"Here is the hex code `#4B0082`. Which one of the eight basic colors (red, orange, yellow, green, blu",indigo,2,1.67
AR # Arabic,"Here is the hex code `#8A2BE2`. Which one of the eight basic colors (red, orange, yellow, green, blu",violet,3,2.5
AR # Arabic,"Here is the hex code `#FF0000`. Which one of the eight basic colors (red, orange, yellow, green, blu",Your Answer: red,1,0.83
AR # Arabic,"Here is the hex code `#FF0000`. Which one of the eight basic colors (red, orange, yellow, green, blu",red,2,1.67
AR # Arabic,"Here is the hex code `#FF7F00`. Which one of the eight basic colors (red, orange, yellow, green, blu",Orange,1,0.83
AR # Arabic,"Here is the hex code `#FF7F00`. Which one of the eight basic colors (red, orange, yellow, green, blu",Your Answer: orange,2,1.67
AR # Arabic,"Here is the hex code `#FFFF00`. Which one of the eight basic colors (red, orange, yellow, green, blu",Your Answer: yellow,2,1.67
AR # Arabic,"Here is the hex code `#FFFF00`. Which one of the eight basic colors (red, orange, yellow, green, blu",yellow,1,0.83
AR # Arabic,"Here is the hex code `#FFFFFF`. Which one of the eight basic colors (red, orange, yellow, green, blu",Your Answer: white,1,0.83
AR # Arabic,"Here is the hex code `#FFFFFF`. Which one of the eight basic colors (red, orange, yellow, green, blu",white,2,1.67
AR # Arabic,The color name is **blue**. Provide a plausible inclusive hex range for this basic color in the form,"Your Answer: [#0000FF,#ADD8E6]",1,0.83
AR # Arabic,The color name is **blue**. Provide a plausible inclusive hex range for this basic color in the form,"[#000080,#ADD8E6]",1,0.83
AR # Arabic,The color name is **blue**. Provide a plausible inclusive hex range for this basic color in the form,"[#0000FF,#00B7EB]",1,0.83
AR # Arabic,The color name is **green**. Provide a plausible inclusive hex range for this basic color in the for,"[#006400, #00FF00]",1,0.83
AR # Arabic,The color name is **green**. Provide a plausible inclusive hex range for this basic color in the for,"[#008000,#00FF00]",2,1.67
AR # Arabic,The color name is **indigo**. Provide a plausible inclusive hex range for this basic color in the fo,"[ #4B0082, #663399 ]",1,0.83
AR # Arabic,The color name is **indigo**. Provide a plausible inclusive hex range for this basic color in the fo,"[#4B0082,#800080]",1,0.83
