Language,Response,Count,Percentage
AR # Arabic,Your Answer: blue,10,8.33
AR # Arabic,calm,8,6.67
AR # Arabic,Your Answer: calm,7,5.83
AR # Arabic,Your Answer: yellow,5,4.17
AR # Arabic,Your Answer: white,5,4.17
AR # Arabic,blue,5,4.17
AR # Arabic,Blue,4,3.33
AR # Arabic,Your Answer: Blue,4,3.33
AR # Arabic,Your Answer: green,4,3.33
AR # Arabic,Your Answer: red,4,3.33
AR # Arabic,red,3,2.5
AR # Arabic,white,3,2.5
AR # Arabic,Your Answer: happy,3,2.5
AR # Arabic,violet,3,2.5
AR # Arabic,White,2,1.67
AR # Arabic,Red,2,1.67
AR # Arabic,angry,2,1.67
AR # Arabic,indigo,2,1.67
AR # Arabic,"[#008000,#00FF00]",2,1.67
AR # Arabic,green,2,1.67
AR # Arabic,happy,2,1.67
AR # Arabic,Yellow,2,1.67
AR # Arabic,Your Answer: orange,2,1.67
AR # Arabic,"[#800080,#EE82EE]",2,1.67
AR # Arabic,Your Answer: White,2,1.67
AR # Arabic,Your Answer: Yellow,2,1.67
AR # Arabic,"[#F0F0F0,#FFFFFF]",2,1.67
AR # Arabic,Green,1,0.83
AR # Arabic,Your Answer: Green,1,0.83
AR # Arabic,"[#4B0082,#800080]",1,0.83
AR # Arabic,"[#0000FF,#00B7EB]",1,0.83
AR # Arabic,Happy,1,0.83
AR # Arabic,"[#FF0000, #FF4040]",1,0.83
AR # Arabic,"[#FF4500, #FFA500]",1,0.83
AR # Arabic,"[#FFFF00, #FFD700]",1,0.83
AR # Arabic,"[#FFA500,#FFC829]",1,0.83
AR # Arabic,"[4B0082, 6A0DAD]",1,0.83
AR # Arabic,"[#660099,#EE82EE]",1,0.83
AR # Arabic,"[#FF8000, #FFBF00]",1,0.83
AR # Arabic,"[ #FFFFE0, #FFD700 ]",1,0.83
AR # Arabic,"[#006400, #00FF00]",1,0.83
AR # Arabic,"Your Answer: [#0000FF,#ADD8E6]",1,0.83
AR # Arabic,Your Answer: indigo,1,0.83
AR # Arabic,"[ #4B0082, #663399 ]",1,0.83
AR # Arabic,"Your Answer: [#F0F0F0,#FFFFFF]",1,0.83
AR # Arabic,"[#000080,#ADD8E6]",1,0.83
AR # Arabic,Your Answer: angry,1,0.83
AR # Arabic,"[#800000,#FF0000]",1,0.83
AR # Arabic,Orange,1,0.83
AR # Arabic,"[ #8B0000, #FF0000 ]",1,0.83
AR # Arabic,yellow,1,0.83
AR # Arabic,"[#FFFF00,#FFFF66]",1,0.83
AR # Arabic,Your Answer: Red,1,0.83
BN # Bengali,Your Answer: blue,9,7.5
BN # Bengali,Your Answer: calm,9,7.5
BN # Bengali,calm,6,5.0
BN # Bengali,Your Answer: white,6,5.0
BN # Bengali,Your Answer: red,5,4.17
BN # Bengali,blue,5,4.17
BN # Bengali,Your Answer: Blue,5,4.17
BN # Bengali,Your Answer: Yellow,4,3.33
BN # Bengali,Blue,4,3.33
BN # Bengali,Your Answer: yellow,4,3.33
BN # Bengali,happy,3,2.5
BN # Bengali,Your Answer: green,3,2.5
BN # Bengali,Red,3,2.5
BN # Bengali,"[#008000,#00FF00]",3,2.5
BN # Bengali,Your Answer: happy,3,2.5
BN # Bengali,Yellow,2,1.67
BN # Bengali,Green,2,1.67
BN # Bengali,indigo,2,1.67
BN # Bengali,White,2,1.67
BN # Bengali,"[#000080,#ADD8E6]",2,1.67
BN # Bengali,angry,2,1.67
BN # Bengali,Your Answer: violet,2,1.67
BN # Bengali,Your Answer: Red,2,1.67
BN # Bengali,"[#FFFFFF,#FAFAFA]",1,0.83
BN # Bengali,Your Answer: Green,1,0.83
BN # Bengali,Your Answer: angry,1,0.83
BN # Bengali,"[#0000FF, #00B7EB]",1,0.83
BN # Bengali,"[#FFFF00, #FFFFE0]",1,0.83
BN # Bengali,"[#FF4500, #FFA500]",1,0.83
BN # Bengali,Your Answer: orange,1,0.83
BN # Bengali,"[#FF0000, #FF4040]",1,0.83
BN # Bengali,"Your

Your Answer: red",1,0.83
BN # Bengali,"[#4B0082,#800080]",1,0.83
BN # Bengali,"[""#4B0082"", ""#800080""]",1,0.83
BN # Bengali,"[FFFFFF, F5F5F5]",1,0.83
BN # Bengali,yellow,1,0.83
BN # Bengali,white,1,0.83
BN # Bengali,red,1,0.83
BN # Bengali,orange,1,0.83
BN # Bengali,"[#FF8000, #FFA500]",1,0.83
BN # Bengali,"[#FFD700,#FFFF00]",1,0.83
BN # Bengali,Your Answer: indigo,1,0.83
BN # Bengali,"[4B0082,8A2BE2]",1,0.83
BN # Bengali,"[ #7F00FF,#EE82EE ]",1,0.83
BN # Bengali,"[#F0F0F0,#FFFFFF]",1,0.83
BN # Bengali,"[#800000,#FF0000]",1,0.83
BN # Bengali,"[#800080,#EE82EE]",1,0.83
BN # Bengali,Orange,1,0.83
BN # Bengali,"[#FFA500,#FF8C00]",1,0.83
BN # Bengali,"[ #D80000, #FF0000 ]",1,0.83
BN # Bengali,"[#FFFF00,#FFFF66]",1,0.83
BN # Bengali,green,1,0.83
BN # Bengali,"[#4B0082,#8A2BE2]",1,0.83
BN # Bengali,violet,1,0.83
BN # Bengali,Your Answer: White,1,0.83
DE # German,Your Answer: blue,10,8.33
DE # German,blue,10,8.33
DE # German,Your Answer: calm,9,7.5
DE # German,calm,5,4.17
DE # German,Your Answer: Blue,5,4.17
DE # German,Your Answer: red,5,4.17
