Language,Question,Response,Count,Percentage
AR # Arabic,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few bl",a,2,16.67
AR # Arabic,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few bl",c,1,8.33
AR # Arabic,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any direct,"Go down twice, right twice, down once, then right to E.",1,8.33
AR # Arabic,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any direct,"Start at S, go right, down, right, down, right to reach E.",1,8.33
AR # Arabic,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any direct,"Start, down, right, down, right, right, up, right to end.",1,8.33
AR # Arabic,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ON,Your Answer: a,1,8.33
AR # Arabic,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ON,a,2,16.67
AR # Arabic,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, r",Your Answer: a,1,8.33
AR # Arabic,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, r",b,2,16.67
BN # Bengali,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few bl",a,2,16.67
BN # Bengali,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few bl",b,1,8.33
BN # Bengali,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any direct,"Down, right, down, right, down, right, right, up, up, right.",1,8.33
BN # Bengali,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any direct,"Go down twice, right twice, down once, right once.",1,8.33
BN # Bengali,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any direct,"Start at S, go right, down, right, down, right to reach E.",1,8.33
BN # Bengali,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ON,Your Answer: a,1,8.33
BN # Bengali,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ON,a,2,16.67
BN # Bengali,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, r",Your Answer: a,1,8.33
BN # Bengali,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, r",b,2,16.67
DE # German,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few bl",a,1,8.33
DE # German,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few bl",b,1,8.33
DE # German,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few bl",d,1,8.33
DE # German,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any direct,"Down, right, down, right, up, right, down, right.",1,8.33
DE # German,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any direct,"Go down twice, right twice, down once, right once.",1,8.33
DE # German,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any direct,"Start at S, go right, down, right, down, right to reach E.",1,8.33
DE # German,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ON,Your Answer: a,1,8.33
DE # German,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ON,a,1,8.33
DE # German,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ON,c,1,8.33
DE # German,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, r",Your Answer: a,1,8.33
DE # German,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, r",b,2,16.67
