Language1,Language2,Language1 Gender System,Language2 Gender System,Gender Pairing,Language-Level Distance
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07071757
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05460328
AR,ES,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.029183507
AR,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.015202045
AR,FR,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.015202045
AR,GA,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.031504095
AR,HE,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.015202045
AR,HI,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.036403775
AR,IT,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.031646132
AR,JA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.015202224
AR,KO,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.015202165
AR,LV,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.015202165
AR,PL,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.015202165
AR,PS,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.015202165
AR,PT,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.015202224
AR,RU,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.028028369
AR,SQ,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.015202224
AR,TH,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.041189432
AR,TR,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.041189432
AR,UR,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.05458635
AR,VI,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.015202165
AR,ZH,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.03565538
BN,DE,Minimal-Gendered,Tri-Gendered,Minimal-Gendered vs. Tri-Gendered,0.073984504
BN,ES,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.061782956
BN,FA,Minimal-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Minimal-Gendered,0.085764945
BN,FR,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.085764945
BN,GA,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.071992755
BN,HE,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.085764945
BN,HI,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07728493
BN,IT,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.062330067
BN,JA,Minimal-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Minimal-Gendered,0.085764945
BN,KO,Minimal-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Minimal-Gendered,0.085765004
BN,LV,Minimal-Gendered,Tri-Gendered,Minimal-Gendered vs. Tri-Gendered,0.085765004
BN,PL,Minimal-Gendered,Tri-Gendered,Minimal-Gendered vs. Tri-Gendered,0.085765004
BN,PS,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.085765004
BN,PT,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.085764945
BN,RU,Minimal-Gendered,Tri-Gendered,Minimal-Gendered vs. Tri-Gendered,0.05829823
BN,SQ,Minimal-Gendered,Tri-Gendered,Minimal-Gendered vs. Tri-Gendered,0.085764945
BN,TH,Minimal-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Minimal-Gendered,0.07356411
BN,TR,Minimal-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Minimal-Gendered,0.07356411
BN,UR,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.060443997
BN,VI,Minimal-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Minimal-Gendered,0.085765004
BN,ZH,Minimal-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Minimal-Gendered,0.08955377
DE,ES,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.02666676
DE,FA,Tri-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Tri-Gendered,0.035171628
DE,FR,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.035171628
DE,GA,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.072639465
DE,HE,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.035171628
DE,HI,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.046628177
DE,IT,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.043714285
DE,JA,Tri-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Tri-Gendered,0.03517139
DE,KO,Tri-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Tri-Gendered,0.03517139
DE,LV,Tri-Gendered,Tri-Gendered,Tri-Gendered vs. Tri-Gendered,0.03517139
DE,PL,Tri-Gendered,Tri-Gendered,Tri-Gendered vs. Tri-Gendered,0.03517139
DE,PS,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.03517139
DE,PT,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.03517139
DE,RU,Tri-Gendered,Tri-Gendered,Tri-Gendered vs. Tri-Gendered,0.06714296
DE,SQ,Tri-Gendered,Tri-Gendered,Tri-Gendered vs. Tri-Gendered,0.03517139
DE,TH,Tri-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Tri-Gendered,0.06353217
DE,TR,Tri-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Tri-Gendered,0.06353217
DE,UR,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.029888928
DE,VI,Tri-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Tri-Gendered,0.03517139
DE,ZH,Tri-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Tri-Gendered,0.06122589
ES,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.023860574
ES,FR,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.023860574
ES,GA,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.0485155
ES,HE,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.023860574
ES,HI,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.02505672
ES,IT,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.032156825
ES,JA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.023860455
ES,KO,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.023860455
ES,LV,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.023860455
ES,PL,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.023860514
ES,PS,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.023860455
ES,PT,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.023860455
ES,RU,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.0393672
ES,SQ,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.023860455
ES,TH,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.0460068
ES,TR,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.0460068
ES,UR,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.046837807
ES,VI,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.023860455
ES,ZH,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.04469794
FA,FR,Fully Non-Gendered,Dual-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.0
FA,GA,Fully Non-Gendered,Dual-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.056794643
FA,HE,Fully Non-Gendered,Dual-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.0
FA,HI,Fully Non-Gendered,Dual-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.030543625
FA,IT,Fully Non-Gendered,Dual-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.047627807
FA,JA,Fully Non-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Fully Non-Gendered,2.3841858e-07
FA,KO,Fully Non-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Fully Non-Gendered,2.3841858e-07
FA,LV,Fully Non-Gendered,Tri-Gendered,Fully Non-Gendered vs. Tri-Gendered,2.3841858e-07
FA,PL,Fully Non-Gendered,Tri-Gendered,Fully Non-Gendered vs. Tri-Gendered,2.3841858e-07
FA,PS,Fully Non-Gendered,Dual-Gendered,Dual-Gendered vs. Fully Non-Gendered,2.3841858e-07
FA,PT,Fully Non-Gendered,Dual-Gendered,Dual-Gendered vs. Fully Non-Gendered,2.3841858e-07
FA,RU,Fully Non-Gendered,Tri-Gendered,Fully Non-Gendered vs. Tri-Gendered,0.042538404
FA,SQ,Fully Non-Gendered,Tri-Gendered,Fully Non-Gendered vs. Tri-Gendered,2.3841858e-07
FA,TH,Fully Non-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Fully Non-Gendered,0.034916222
FA,TR,Fully Non-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Fully Non-Gendered,0.034916222
FA,UR,Fully Non-Gendered,Dual-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.038281262
FA,VI,Fully Non-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Fully Non-Gendered,2.3841858e-07
FA,ZH,Fully Non-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Fully Non-Gendered,0.05045283
FR,GA,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.056794643
FR,HE,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.0
FR,HI,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.030543625
FR,IT,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.047627807
