Language1,Language2,Language1 Gender System,Language2 Gender System,Gender Pairing,Average Noun Distance,NounCategory,Noun
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.03904419988393777,Abstract Concepts,anger
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06526580117642873,Abstract Concepts,courage
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.03372339922934768,Abstract Concepts,fear
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.03966019973158833,Abstract Concepts,freedom
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.034784199669957126,Abstract Concepts,happiness
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04458599910140035,Abstract Concepts,hate
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.03983739987015723,Abstract Concepts,honesty
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04001600034534928,Abstract Concepts,justice
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.061073999851942,Abstract Concepts,knowledge
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06753939948976036,Abstract Concepts,love
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05315899923443789,Abstract Concepts,peace
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.053795801103115035,Abstract Concepts,wisdom
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.039770800247788354,Cultural Artifacts,bell
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0475753992795944,Cultural Artifacts,candle
