Language,Response,Count,Percentage
AR # Arabic,bread,6,4.17
AR # Arabic,desert,5,3.47
AR # Arabic,justice,4,2.78
AR # Arabic,courage,3,2.08
AR # Arabic,grass,3,2.08
AR # Arabic,cat,3,2.08
AR # Arabic,elephant,3,2.08
AR # Arabic,dog,3,2.08
AR # Arabic,lake,3,2.08
AR # Arabic,brother,3,2.08
AR # Arabic,moon,3,2.08
AR # Arabic,father,3,2.08
AR # Arabic,stranger,3,2.08
AR # Arabic,inside,3,2.08
AR # Arabic,above,3,2.08
AR # Arabic,morning,3,2.08
AR # Arabic,second,3,2.08
AR # Arabic,century,3,2.08
AR # Arabic,lock,3,2.08
AR # Arabic,cactus,3,2.08
AR # Arabic,bridge,3,2.08
AR # Arabic,banana,3,2.08
AR # Arabic,book,3,2.08
AR # Arabic,painting,3,2.08
AR # Arabic,volcano,3,2.08
AR # Arabic,flag,3,2.08
AR # Arabic,fog,3,2.08
AR # Arabic,wisdom,3,2.08
AR # Arabic,beef,3,2.08
AR # Arabic,artist,3,2.08
AR # Arabic,soldier,3,2.08
AR # Arabic,teacher,3,2.08
AR # Arabic,farmer,3,2.08
AR # Arabic,crown,3,2.08
AR # Arabic,east,2,1.39
AR # Arabic,night,2,1.39
AR # Arabic,candle,2,1.39
AR # Arabic,outside,2,1.39
AR # Arabic,lightning,2,1.39
AR # Arabic,enemy,2,1.39
AR # Arabic,potato,2,1.39
AR # Arabic,rose,2,1.39
AR # Arabic,river,2,1.39
AR # Arabic,monkey,2,1.39
AR # Arabic,rainbow,2,1.39
AR # Arabic,tomato,1,0.69
AR # Arabic,west,1,0.69
AR # Arabic,rival,1,0.69
AR # Arabic,earthquake,1,0.69
AR # Arabic,freedom,1,0.69
AR # Arabic,front,1,0.69
AR # Arabic,snake,1,0.69
AR # Arabic,flower,1,0.69
AR # Arabic,valley,1,0.69
AR # Arabic,ocean,1,0.69
AR # Arabic,rain,1,0.69
AR # Arabic,honesty,1,0.69
AR # Arabic,carpet,1,0.69
AR # Arabic,evening,1,0.69
BN # Bengali,potato,6,4.17
BN # Bengali,courage,3,2.08
BN # Bengali,bridge,3,2.08
BN # Bengali,lock,3,2.08
BN # Bengali,elephant,3,2.08
BN # Bengali,monkey,3,2.08
BN # Bengali,ocean,3,2.08
BN # Bengali,honesty,3,2.08
BN # Bengali,cactus,3,2.08
BN # Bengali,grass,3,2.08
BN # Bengali,rival,3,2.08
BN # Bengali,father,3,2.08
BN # Bengali,stranger,3,2.08
BN # Bengali,east,3,2.08
BN # Bengali,inside,3,2.08
BN # Bengali,outside,3,2.08
BN # Bengali,above,3,2.08
BN # Bengali,second,3,2.08
BN # Bengali,century,3,2.08
BN # Bengali,moon,3,2.08
BN # Bengali,dog,3,2.08
BN # Bengali,book,3,2.08
BN # Bengali,rice,3,2.08
BN # Bengali,farmer,3,2.08
BN # Bengali,fog,3,2.08
BN # Bengali,banana,3,2.08
BN # Bengali,fish,3,2.08
BN # Bengali,painting,3,2.08
BN # Bengali,wisdom,3,2.08
BN # Bengali,soldier,3,2.08
BN # Bengali,teacher,3,2.08
BN # Bengali,candle,2,1.39
BN # Bengali,island,2,1.39
BN # Bengali,thunder,2,1.39
BN # Bengali,freedom,2,1.39
BN # Bengali,artist,2,1.39
BN # Bengali,night,2,1.39
BN # Bengali,morning,2,1.39
BN # Bengali,flag,2,1.39
BN # Bengali,rainbow,2,1.39
BN # Bengali,crown,2,1.39
BN # Bengali,lightning,2,1.39
BN # Bengali,brother,2,1.39
BN # Bengali,rose,2,1.39
BN # Bengali,river,2,1.39
BN # Bengali,village,2,1.39
BN # Bengali,cat,2,1.39
BN # Bengali,lake,1,0.69
BN # Bengali,earthquake,1,0.69
BN # Bengali,friend,1,0.69
BN # Bengali,flower,1,0.69
BN # Bengali,plain,1,0.69
BN # Bengali,"flag there! I'm thrilled to help with this. After thinking it over in my native Bengali, where national pride often ties deeply to symbols of unity and history, I've made my choice.

Answer: flag",1,0.69
BN # Bengali,year,1,0.69
BN # Bengali,forest,1,0.69
BN # Bengali,rain,1,0.69
BN # Bengali,মুকুট (Crown),1,0.69
BN # Bengali,justice,1,0.69
BN # Bengali,peacock,1,0.69
BN # Bengali,writer,1,0.69
BN # Bengali,volcano,1,0.69
BN # Bengali,bell,1,0.69
BN # Bengali,evening,1,0.69
DE # German,dog,4,2.78
DE # German,bread,4,2.78
DE # German,courage,3,2.08
DE # German,bridge,3,2.08
DE # German,lock,3,2.08
DE # German,cat,3,2.08
DE # German,monkey,3,2.08
DE # German,lake,3,2.08
DE # German,ocean,3,2.08
DE # German,cactus,3,2.08
DE # German,rose,3,2.08
DE # German,grass,3,2.08
DE # German,potato,3,2.08
DE # German,rival,3,2.08
DE # German,stranger,3,2.08
DE # German,inside,3,2.08
DE # German,above,3,2.08
DE # German,second,3,2.08
DE # German,century,3,2.08
DE # German,moon,3,2.08
DE # German,island,3,2.08
DE # German,book,3,2.08
DE # German,fog,3,2.08
DE # German,candle,3,2.08
DE # German,farmer,3,2.08
DE # German,painting,3,2.08
DE # German,crown,3,2.08
DE # German,rainbow,3,2.08
DE # German,volcano,3,2.08
DE # German,flag,3,2.08
DE # German,banana,3,2.08
DE # German,beef,3,2.08
DE # German,artist,3,2.08
DE # German,teacher,3,2.08
