Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,intense;boiling;sudden;deep;raw;suppressed;righteous;blind;explosive;simmering
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,courage,brave;unwavering;heroic;quiet;bold;moral;physical;innate;foolish;steadfast
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,fear,intense;irrational;deep-seated;sudden;paralyzing;primal;overwhelming;creeping;unfounded;lingering
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,freedom,absolute;hard-won;personal;true;limited;newfound;basic;unrestricted;cherished;fleeting
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;overwhelming;quiet;shared;inner;radiant
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,hate,intense;blind;deep-seated;irrational;bitter;enduring;passionate;unspoken;destructive;simmering
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,honesty,brutal;unwavering;refreshing;absolute;rare;straightforward;heartfelt;painful;complete;admirable
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;delayed;equal;restorative;divine;imperfect
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;hidden;theoretical;shared;profound;basic;specialized;timeless
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;forbidden;pure;lost;mutual;selfless;romantic;familial
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;temporary;profound;negotiated;spiritual;elusive
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;hard-earned;intuitive;worldly;innate;shared;overlooked
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,bell,ringing;old;silver;loud;antique;small;golden;church;handheld;decorative
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;waxen;lit;colorful;aromatic;emergency;decorative;melted
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,carpet,soft;patterned;woolen;thick;colorful;antique;rolled;synthetic;oriental;stained
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,coin,shiny;ancient;rare;gold;silver;counterfeit;foreign;minted;worn;valuable
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ancient;ceremonial;heavy;symbolic;ornate;stolen;imperial
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;printed;historical;faded;patriotic
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,mask,protective;decorative;facial;mysterious;theatrical;surgical;carved;disposable;festive;hidden
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,necklace,sparkling;gold;pearl;antique;beaded;elegant;simple;layered;handmade;valuable
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;famous;oil;landscape;modern;framed;colorful;antique
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,ring,golden;engagement;simple;diamond;antique;silver;oversized;engraved;wedding;decorative
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,statue,towering;bronze;ancient;marble;heroic;modern;damaged;lifelike;commemorative;stone
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Cultural Artifacts,vase,ornate;glass;ceramic;tall;decorative;antique;floral;cracked;colorful;hand-painted
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;low-hanging;cumulus;rainy;expansive
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,earthquake,devastating;minor;powerful;sudden;seismic;destructive;shallow;frequent;underground;tectonic
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,fog,thick;dense;morning;mysterious;rolling;chilly;persistent;coastal;light;enveloping
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;electrical;distant;striking;powerful;nighttime;dangerous;flashing
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,rain,heavy;light;steady;pouring;seasonal;cold;warm;relentless;gentle;tropical
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,rainbow,vibrant;double;fading;colorful;arched;post-rain;rare;full;hazy;spectacular
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,snow,fresh;heavy;powdery;melting;deep;fluffy;wet;seasonal;drifting;icy
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,storm,violent;approaching;fierce;electrical;winter;tropical;raging;sudden;coastal;howling
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,thunder,loud;rumbling;distant;crashing;ominous;echoing;sudden;rolling;nighttime;explosive
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,tide,high;low;rising;ebbing;strong;coastal;incoming;outgoing;unpredictable;tidal
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,volcano,active;dormant;explosive;massive;smoking;ancient;fiery;underwater;threatening;lava-filled
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Environmental Phenomena,wind,strong;gentle;howling;cold;warm;gusty;steady;coastal;erratic;biting
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,apple,red;crisp;juicy;green;ripe;tart;fresh;organic;sweet;spoiled
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,banana,yellow;ripe;peeled;green;sweet;spotted;fresh;organic;curved;overripe
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,beef,tender;grilled;lean;fatty;fresh;ground;rare;organic;seasoned;tough
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,bread,fresh;sliced;warm;whole-wheat;crusty;soft;homemade;stale;toasted;artisan
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,broccoli,fresh;steamed;green;crisp;organic;frozen;raw;tender;chopped;overcooked
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,cheese,sharp;creamy;aged;soft;hard;grated;melted;flavorful;imported;mild
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,chicken,grilled;roasted;fresh;organic;boneless;spicy;fried;tender;free-range;seasoned
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,egg,fresh;boiled;scrambled;brown;white;organic;cracked;fried;large;runny
