Language1,Language2,Language1 Gender System,Language2 Gender System,Gender Pairing,Average Noun Distance,NounCategory,Noun
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.022424399852752665,Abstract Concepts,anger
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.014799400139599999,Abstract Concepts,courage
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.02065959982573978,Abstract Concepts,fear
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.007176199927926039,Abstract Concepts,freedom
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.009995399881154278,Abstract Concepts,happiness
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.016015800461173003,Abstract Concepts,hate
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.014822800084948498,Abstract Concepts,honesty
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.02313680052757258,Abstract Concepts,justice
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.020396999642252882,Abstract Concepts,knowledge
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.01682300008833404,Abstract Concepts,love
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.025781200453638974,Abstract Concepts,peace
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.022107999958097903,Abstract Concepts,wisdom
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.017602399550378282,Cultural Artifacts,bell
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.017721199430525258,Cultural Artifacts,candle
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.02985639963299032,Cultural Artifacts,carpet
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.011820200271904419,Cultural Artifacts,coin
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.015222000144422,Cultural Artifacts,crown
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.0026381999370641796,Cultural Artifacts,flag
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.019456199929118102,Cultural Artifacts,mask
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.012415000144392221,Cultural Artifacts,necklace
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.010472000052686737,Cultural Artifacts,painting
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.010554200224578342,Cultural Artifacts,ring
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.024032799899578062,Cultural Artifacts,statue
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.020817600097507206,Cultural Artifacts,vase
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.0086758001707494,Environmental Phenomena,cloud
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.01923160050064322,Environmental Phenomena,earthquake
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.010612400248646719,Environmental Phenomena,fog
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.012735399790108159,Environmental Phenomena,lightning
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.00710200015455482,Environmental Phenomena,rain
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.010980799980461559,Environmental Phenomena,rainbow
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.00146460002288222,Environmental Phenomena,snow
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.028896800428628855,Environmental Phenomena,storm
