Language1,Language2,Language1 Gender System,Language2 Gender System,Gender Pairing,Language-Level Distance
PT,FA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.06183517
PT,SQ,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.03073901
PT,ZH,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.029421926
PT,GA,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.033935487
PT,IT,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.03073901
PT,TH,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.036227226
PT,VI,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.06183517
PT,HI,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.03073901
PT,PL,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.029421926
PT,HE,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.03073901
PT,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04382974
PT,UR,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.029421926
PT,AR,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.02882415
PT,PS,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.036227226
PT,ES,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.06955063
PT,FR,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.04910934
PT,TR,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,5.9604645e-08
PT,JA,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.036227286
PT,KO,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.04312092
PT,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.026907802
PT,LV,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.03073901
PT,RU,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.044619203
FA,SQ,Fully Non-Gendered,Tri-Gendered,Fully Non-Gendered vs. Tri-Gendered,0.028972208
FA,ZH,Fully Non-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Fully Non-Gendered,0.036765337
FA,GA,Fully Non-Gendered,Dual-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.026285112
FA,IT,Fully Non-Gendered,Dual-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.028972208
FA,TH,Fully Non-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Fully Non-Gendered,0.060671866
FA,VI,Fully Non-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Fully Non-Gendered,0.0
