Language1,Language2,Language1 Gender System,Language2 Gender System,Gender Pairing,Language-Level Distance
AR # Arabic,BN # Bengali,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.047878265
AR # Arabic,ES # Spanish,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.034476817
AR # Arabic,FA # Persian,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.05286151
AR # Arabic,GA # Irish,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.06544328
AR # Arabic,HE # Hebrew,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.05526179
AR # Arabic,HI # Hindi,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.024374425
AR # Arabic,IT # Italian,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.04258138
AR # Arabic,JA # Japanese,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.024260819
AR # Arabic,KO # Korean,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.056459546
AR # Arabic,PL # Polish,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.07270461
AR # Arabic,PT # Portuguese,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.043679357
AR # Arabic,RU # Russian,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.014270067
AR # Arabic,SQ # Albanian,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.092870116
AR # Arabic,TR # Turkish,Dual-Gendered,Fully Non-Gendered,Dual-Gendered vs. Fully Non-Gendered,0.08712286
AR # Arabic,UR # Urdu,Dual-Gendered,Dual-Gendered,Dual-Gendered vs. Dual-Gendered,0.06554842
BN # Bengali,ES # Spanish,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.053940654
BN # Bengali,GA # Irish,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05911398
BN # Bengali,HE # Hebrew,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.047807097
BN # Bengali,HI # Hindi,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.011874676
BN # Bengali,IT # Italian,Minimal-Gendered,Dual-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06664282
BN # Bengali,JA # Japanese,Minimal-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Minimal-Gendered,0.041779637
BN # Bengali,PL # Polish,Minimal-Gendered,Tri-Gendered,Minimal-Gendered vs. Tri-Gendered,0.034055233
BN # Bengali,RU # Russian,Minimal-Gendered,Tri-Gendered,Minimal-Gendered vs. Tri-Gendered,0.052600443
BN # Bengali,SQ # Albanian,Minimal-Gendered,Tri-Gendered,Minimal-Gendered vs. Tri-Gendered,0.03375089
BN # Bengali,TR # Turkish,Minimal-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Minimal-Gendered,0.036118746
DE # German,AR # Arabic,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.025855899
DE # German,BN # Bengali,Tri-Gendered,Minimal-Gendered,Minimal-Gendered vs. Tri-Gendered,0.032942712
DE # German,ES # Spanish,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.053901732
DE # German,FA # Persian,Tri-Gendered,Fully Non-Gendered,Fully Non-Gendered vs. Tri-Gendered,0.03559655
DE # German,FR # French,Tri-Gendered,Dual-Gendered,Dual-Gendered vs. Tri-Gendered,0.083836555
