Linguistic_Family,Sample_Size,Response_Entropy,Mean_Diversity
Austro-Asiatic,36,3.724394443241943,15.0
Indo-European,468,3.71944681204492,13.846153846153847
Indo-European-Albanian,36,3.5713451378547343,13.0
Indo-European-Bengali,36,3.647869790548339,14.0
Japonic,36,3.724394443241943,15.0
Koreanic,36,3.647869790548339,14.0
Niger-Congo,36,3.7562068606787946,15.0
Semitic,72,3.6573260901404088,13.5
Sino-Tibetan,36,3.5713451378547343,13.0
Tai-Kadai,36,3.5713451378547343,13.0
Turkic,36,3.647869790548339,14.0
