Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,strong;hot;blind;sudden;deep;intense;quick;bitter;raw;explosive
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,great;true;brave;strong;quiet;bold;real;big;simple;pure
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,great;deep;sudden;cold;dark;real;strong;quick;bad;hidden
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,true;full;new;great;simple;real;big;sweet;open;pure
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,great;true;pure;simple;big;real;warm;sweet;full;quiet
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;bitter;pure;real;quick;dark;bad;intense
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,true;full;simple;real;pure;great;clear;strong;quiet;open
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,true;fair;great;blind;real;pure;simple;strong;quick;full
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,great;deep;true;simple;real;wide;pure;strong;new;full
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,true;great;pure;deep;real;strong;sweet;warm;big;simple
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,true;great;quiet;full;real;pure;simple;warm;deep;strong
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,great;true;deep;simple;real;pure;old;strong;quiet;full
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;soft;metal;round;shiny;broken
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,candle,small;big;white;red;old;new;soft;hard;bright;broken
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;hard;red;blue;dirty;clean
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;dirty;gold;silver;round;heavy;light
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,crown,big;gold;old;new;shiny;heavy;royal;simple;broken;fine
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;red;blue;national;clean;dirty;high
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,mask,small;big;black;white;old;new;soft;hard;funny;scary
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,necklace,small;big;gold;silver;old;new;shiny;simple;broken;fine
