Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,strong;bad;big;quick;deep;hot;bitter;furious;intense;sudden
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,courage,brave;strong;big;good;fast;true;quiet;great;hard;clear
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,fear,big;strong;bad;dark;cold;quick;deep;sudden;real;small
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,freedom,big;good;true;strong;new;full;sweet;clear;fast;open
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,happiness,big;good;true;warm;bright;full;sweet;strong;deep;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,hate,strong;bad;deep;cold;bitter;dark;quick;blind;hard;real
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,honesty,good;true;strong;clear;simple;pure;big;fast;warm;real
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,justice,good;fair;strong;true;clear;big;fast;hard;pure;right
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,knowledge,big;good;deep;true;clear;strong;new;fast;simple;wide
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,love,strong;true;deep;warm;big;sweet;pure;good;fast;real
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,peace,good;quiet;true;warm;big;clear;strong;sweet;full;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;clear;strong;old;good;big;pure;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;shiny;broken
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;soft;colored;long;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;colorful;warm;thick;clean;dirty
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;metal;round;heavy;light;gold;silver
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;shiny;heavy;royal;beautiful;simple;broken
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;national;high;strong;clean;torn
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;colorful;funny;scary;plastic;simple;broken
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;shiny;beautiful;gold;silver;long;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;famous;simple;bright;dark
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;shiny;gold;silver;beautiful;simple;broken
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;tall;beautiful;broken;famous
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;beautiful;glass;broken;colorful;simple;tall
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,cloud,big;small;white;gray;high;soft;dark;light;fast;cold
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;dangerous;deep;fast;bad;real;long;scary
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,fog,thick;gray;cold;heavy;wet;low;quiet;early;bad;soft
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;dangerous;sudden;white;hot;quick;big;scary
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;fast;long;soft;hard;warm;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;clear;rare;wet;high;simple;natural
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;wet;fresh;hard;big;quiet
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,storm,strong;big;dangerous;fast;dark;wet;loud;cold;sudden;long
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;scary;deep;big;fast;dark;real;long
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;big;cold;wet;deep;quiet;dangerous
