Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,anger,big;strong;bad;quick;hot;deep;sudden;great;intense;raw
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;bold;quiet;sudden;personal;inner;real
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,fear,big;dark;sudden;deep;cold;strong;real;hidden;quick;bad
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,freedom,great;true;full;new;personal;strong;basic;quick;open;real
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,happiness,great;true;full;simple;warm;deep;sudden;personal;big;quiet
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;pure;cold;quick;bad;great;sudden;dark
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,honesty,true;simple;full;strong;basic;real;quiet;personal;clear;direct
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,justice,fair;true;strong;quick;full;basic;real;great;simple;blind
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;basic;true;simple;personal;strong;quick;new
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,love,true;deep;strong;pure;warm;great;simple;blind;quick;real
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,peace,quiet;true;full;strong;warm;great;simple;inner;real;deep
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;old;simple;strong;quiet;personal;clear;real
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,bell,big;old;small;loud;shiny;new;metal;simple;broken;clear
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,candle,small;old;new;bright;warm;simple;broken;colored;tall;soft
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,carpet,big;old;new;soft;colorful;dirty;clean;thick;simple;warm
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;metal;rare;simple;broken;gold;silver
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;shiny;royal;simple;broken;heavy;beautiful
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,flag,big;old;new;colorful;national;simple;torn;clean;high;red
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,mask,small;old;new;scary;simple;colorful;broken;plastic;funny;black
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,necklace,small;old;new;shiny;beautiful;simple;broken;gold;long;silver
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,painting,big;old;new;beautiful;simple;colorful;broken;famous;dark;bright
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,ring,small;old;new;shiny;gold;simple;broken;beautiful;silver;big
grok-3-mini,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,statue,big;old;new;stone;simple;broken;famous;tall;metal;beautiful
