Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,strong;hot;blind;sudden;deep;intense;quick;bitter;raw;explosive
grok-3-mini,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;hot;suppressed;explosive;quiet;personal
grok-3-mini,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;suppressed;explosive;quiet;righteous;simmering
grok-3-mini,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;suppressed;explosive;righteous;simmering;uncontrolled
grok-3-mini,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;suppressed;explosive;quiet;righteous;simmering
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,great;true;brave;strong;quiet;bold;real;big;simple;pure
grok-3-mini,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,courage,brave;great;true;moral;physical;quiet;heroic;sudden;unwavering;bold
grok-3-mini,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,courage,bold;unwavering;heroic;quiet;fierce;innate;moral;reckless;inspiring;steadfast
grok-3-mini,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,courage,brave;unwavering;heroic;quiet;bold;moral;physical;innate;foolish;admirable
grok-3-mini,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,courage,brave;bold;fearless;heroic;steadfast;unwavering;quiet;moral;inspiring;indomitable
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,great;deep;sudden;cold;dark;real;strong;quick;bad;hidden
grok-3-mini,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,fear,great;sudden;deep;irrational;constant;hidden;intense;overwhelming;basic;natural
grok-3-mini,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,fear,overwhelming;sudden;deep;irrational;primal;constant;hidden;paralyzing;instinctive;creeping
grok-3-mini,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,fear,intense;sudden;overwhelming;irrational;primal;paralyzing;hidden;instinctive;creeping;profound
grok-3-mini,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,fear,intense;overwhelming;sudden;irrational;deep;primal;paralyzing;hidden;constant;creeping
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,true;full;new;great;simple;real;big;sweet;open;pure
grok-3-mini,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,freedom,great;true;personal;basic;limited;full;hard-won;absolute;social;individual
grok-3-mini,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,freedom,absolute;hard-won;true;limited;personal;political;joyful;fragile;expansive;basic
grok-3-mini,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,freedom,absolute;hard-won;personal;political;true;limited;cherished;unrestricted;fleeting;basic
grok-3-mini,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,freedom,absolute;true;hard-won;unlimited;personal;political;basic;cherished;fleeting;expansive
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,great;true;pure;simple;big;real;warm;sweet;full;quiet
grok-3-mini,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,happiness,great;true;simple;pure;lasting;sudden;deep;shared;inner;everyday
grok-3-mini,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,happiness,pure;lasting;simple;overwhelming;quiet;shared;fleeting;genuine;inner;radiant
grok-3-mini,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;deep;shared;quiet;overwhelming;everyday
grok-3-mini,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,happiness,pure;genuine;lasting;simple;overwhelming;quiet;infectious;fleeting;deep;radiant
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;bitter;pure;real;quick;dark;bad;intense
grok-3-mini,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,hate,deep;blind;intense;strong;irrational;bitter;pure;hidden;growing;mutual
grok-3-mini,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,hate,bitter;intense;deep-rooted;blind;irrational;growing;mutual;cold;destructive;unspoken
grok-3-mini,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,hate,intense;blind;deep;irrational;bitter;enduring;violent;unspoken;mutual;destructive
grok-3-mini,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,hate,intense;bitter;deep-seated;irrational;blind;consuming;petty;enduring;violent;unspoken
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,true;full;simple;real;pure;great;clear;strong;quiet;open
grok-3-mini,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,honesty,true;complete;simple;rare;basic;absolute;straightforward;deep;personal;clear
grok-3-mini,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,honesty,brutal;complete;straightforward;rare;refreshing;painful;absolute;unwavering;simple;heartfelt
grok-3-mini,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;straightforward;rare;painful;unwavering;simple;heartfelt;absolute
grok-3-mini,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,honesty,absolute;brutal;straightforward;unwavering;rare;refreshing;painful;genuine;complete;admirable
grok-3-mini,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,true;fair;great;blind;real;pure;simple;strong;quick;full
grok-3-mini,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,justice,fair;true;social;blind;quick;equal;moral;basic;absolute;human
grok-3-mini,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,justice,fair;swift;blind;social;true;delayed;equal;moral;imperfect;ultimate
grok-3-mini,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;delayed;equal;restorative;harsh;impartial
