Language,Linguistic_Family,Linguistic_Subfamily,Sample_Size,Total_Responses,Unique_Responses,Response_Entropy,Lexical_Diversity,Response_Consistency,Mean_Response_Length,Code_Switching_Frequency,Mean_Response_Code,Std_Response_Code,Skewness,Kurtosis
AR # Arabic,Semitic,Semitic,12,12,7,2.5849624997112692,0.4782608695652174,0.5833333333333334,3.8333333333333335,0.0,3.4166666666666665,1.6562172428626494,-0.4992754755053605,-0.8405897826203077
BN # Bengali,Indo-European-Bengali,Bengali,12,12,6,2.3553885413419167,0.45454545454545453,0.5833333333333334,3.6666666666666665,0.0,3.3333333333333335,1.5456030825826172,-0.7350991901216891,-0.7886470164052639
DE # German,Indo-European,Germanic,12,12,8,2.8553885410533777,0.5238095238095238,0.41666666666666663,3.5,0.0,3.75,1.963203164898291,-0.27185210939745696,-1.0697303384465544
ES # Spanish,Indo-European,Romance,12,12,7,2.5220552078643137,0.4666666666666667,0.5833333333333334,3.75,0.0,3.6666666666666665,1.7480147469502527,-0.6968248092704609,-0.8883333333333341
FA # Persian,Indo-European,Indo-Iranian,12,12,7,2.5220552078643137,0.4523809523809524,0.49999999999999994,3.5,0.0,3.5833333333333335,1.70579079087156,-0.6555156407966805,-0.8320755796180999
FR # French,Indo-European,Romance,12,12,6,2.2516291665222057,0.4634146341463415,0.6666666666666666,3.4166666666666665,0.0,3.5,1.6072751268321592,-0.8454861121282549,-0.7467265001734309
GA # Irish,Indo-European,Germanic,12,12,6,2.2516291665222057,0.5128205128205128,0.6666666666666666,3.25,0.0,3.5,1.6072751268321592,-0.845486112128255,-0.7467265001734305
HE # Hebrew,Semitic,Semitic,12,12,7,2.5220552078643137,0.48717948717948717,0.49999999999999994,3.25,0.0,3.5833333333333335,1.70579079087156,-0.6555156407966803,-0.8320755796180994
HI # Hindi,Indo-European,Indo-Iranian,12,12,7,2.6258145826840247,0.425,0.49999999999999994,3.3333333333333335,0.0,3.5,1.707825127659933,-0.5285769442624515,-0.9524659863945582
IT # Italian,Indo-European,Romance,12,12,7,2.6258145826840247,0.5,0.49999999999999994,3.5,0.0,3.5,1.707825127659933,-0.5285769442624515,-0.9524659863945582
JA # Japanese,Japonic,Japanese,12,12,6,2.284159126985805,0.4418604651162791,0.49999999999999994,3.5833333333333335,0.0,3.25,1.479019945774904,-0.788366272731504,-0.6588832199546477
KO # Korean,Koreanic,Korean,12,12,8,2.8553885410533777,0.4888888888888889,0.41666666666666663,3.75,0.0,3.75,1.963203164898291,-0.271852109397457,-1.0697303384465549
LV # Latvian,Indo-European,Baltic,12,12,6,2.3553885413419167,0.4418604651162791,0.5833333333333334,3.5833333333333335,0.0,3.3333333333333335,1.5456030825826172,-0.7350991901216891,-0.7886470164052639
PL # Polish,Indo-European,Slavic,12,12,6,2.3553885413419167,0.425531914893617,0.5833333333333334,3.9166666666666665,0.0,3.3333333333333335,1.5456030825826172,-0.7350991901216891,-0.7886470164052639
PS # Pashto,Indo-European,Indo-Iranian,12,12,6,2.2516291665222057,0.5,0.6666666666666666,3.3333333333333335,0.0,3.5,1.6072751268321592,-0.8454861121282549,-0.7467265001734309
PT # Portuguese,Indo-European,Romance,12,12,7,2.5220552078643137,0.525,0.49999999999999994,3.3333333333333335,0.0,3.5833333333333335,1.70579079087156,-0.6555156407966803,-0.8320755796180994
RU # Russian,Indo-European,Slavic,12,12,6,2.2212518351388493,0.5,0.5833333333333334,3.3333333333333335,0.0,3.4166666666666665,1.552328000849763,-0.8605481619637855,-0.6621018431623322
SQ # Albanian,Indo-European-Albanian,Albanian,12,12,7,2.6258145826840247,0.46153846153846156,0.49999999999999994,3.25,0.0,3.5,1.707825127659933,-0.5285769442624515,-0.9524659863945582
SW # Swahili,Niger-Congo,Bantu,12,12,7,2.5220552078643137,0.4888888888888889,0.5833333333333334,3.75,0.0,3.6666666666666665,1.7480147469502527,-0.6968248092704609,-0.8883333333333345
TH # Thai,Tai-Kadai,Tai,12,12,7,2.5220552078643137,0.4666666666666667,0.5833333333333334,3.75,0.0,3.6666666666666665,1.7480147469502527,-0.6968248092704609,-0.8883333333333341
TR # Turkish,Turkic,Turkic,12,12,6,2.2516291665222057,0.4772727272727273,0.6666666666666666,3.6666666666666665,0.0,3.5,1.6072751268321592,-0.845486112128255,-0.7467265001734305
UR # Urdu,Indo-European,Indo-Iranian,12,12,6,2.2516291665222057,0.4444444444444444,0.6666666666666666,3.75,0.0,3.5,1.6072751268321592,-0.845486112128255,-0.7467265001734305
VI # Vietnamese,Austro-Asiatic,Vietic,12,12,6,2.2516291665222057,0.4594594594594595,0.6666666666666666,3.0833333333333335,0.0,3.5,1.6072751268321592,-0.845486112128255,-0.7467265001734305
ZH # Mandarin,Sino-Tibetan,Chinese,12,12,7,2.6258145826840247,0.4318181818181818,0.49999999999999994,3.6666666666666665,0.0,3.5,1.707825127659933,-0.5285769442624515,-0.9524659863945586
