Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,strong;bad;quick;hot;sudden;deep;great;wild;bitter;fierce
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,courage,brave;strong;good;big;true;quiet;bold;great;new;high
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,fear,big;strong;sudden;deep;dark;cold;bad;quick;wild;real
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,freedom,big;good;new;true;great;full;fast;strong;happy;clear
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,happiness,big;good;great;strong;full;true;warm;quick;new;bright
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,hate,strong;bad;deep;cold;bitter;wild;quick;dark;real;full
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,honesty,good;true;strong;clear;big;simple;real;warm;full;pure
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,justice,good;fair;strong;true;big;clear;real;full;quick;blind
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,knowledge,big;good;deep;strong;new;real;full;clear;true;great
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,love,strong;good;deep;true;big;warm;pure;real;full;sweet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,peace,good;quiet;strong;true;full;clear;warm;real;new;deep
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;strong;good;clear;full;real;big;warm
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;shiny;broken
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;soft;colored;long;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;colored;warm;thick;clean;dirty
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;metal;round;light;rare;gold;dirty
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;shiny;heavy;royal;beautiful;simple;broken
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colored;national;high;clean;simple;bright
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;scary;soft;plastic;fun;strange
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;shiny;gold;beautiful;light;simple;colored
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;simple;dark;bright;broken
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,ring,small;old;new;shiny;gold;simple;beautiful;heavy;broken;rare
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;tall;beautiful;broken;simple;strong
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;glass;beautiful;broken;colored;simple;tall
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;high;soft;light;fast;cold;wet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;dangerous;deep;bad;real;fast;wild;long
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;dark;wet;quiet;bad;deep;slow
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,lightning,fast;bright;strong;dangerous;wild;quick;hot;real;big;sudden
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;fast;strong;soft;bad;long;warm
