Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,strong;hot;sudden;deep;blind;great;fierce;quick;raw;bad
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,courage,brave;great;strong;true;bold;steady;quiet;big;fast;good
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,fear,big;sudden;cold;deep;strong;dark;quick;bad;real;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,freedom,great;true;full;new;strong;quick;big;good;pure;real
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,happiness,great;full;true;big;quick;strong;pure;good;real;new
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;great;fierce;bad;quick;dark;real;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,honesty,true;pure;great;strong;real;good;simple;clear;big;full
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,justice,fair;true;great;strong;quick;good;real;pure;big;clear
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;strong;real;good;new;big;true;full
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,love,great;true;deep;pure;strong;real;big;good;warm;full
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,peace,great;true;quiet;full;strong;real;good;pure;big;warm
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;strong;real;good;old;big;pure;clear
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,bell,big;small;old;loud;new;shiny;clear;round;metal;simple
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;soft;warm;round;simple;clear
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;thick;colorful;warm;clean;simple
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;round;metal;heavy;light;rare;good
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;shiny;gold;heavy;royal;simple;strong
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;national;simple;strong;clean;bright
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;simple;scary;colorful;strong;light;clear
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;shiny;gold;simple;beautiful;light;strong
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;simple;clear;bright;good
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;shiny;gold;simple;strong;light;beautiful
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;tall;simple;strong;clear;beautiful
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;beautiful;simple;glass;tall;clean;colorful
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;fluffy;high;fast;soft;light;cold
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;deep;bad;fast;real;old;heavy;violent
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;low;soft;quiet;dark;wet;dense
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,lightning,fast;bright;sudden;strong;hot;white;quick;bad;real;wild
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;steady;soft;fast;hard;warm;gentle
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,rainbow,beautiful;bright;colorful;big;clear;rare;simple;natural;good;wide
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;fresh;deep;light;wet;hard;pure;quiet
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,storm,big;strong;wild;fast;dark;cold;heavy;loud;wet;sudden
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,thunder,loud;strong;deep;sudden;big;scary;fast;real;wild;bad
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;deep;cold;wet;big;gentle;quiet
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;old;dangerous;tall;deep;strong;wild;real
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;gentle;hot;light;wild;quiet;wet;dry
