Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,strong;big;hot;sudden;quick;bad;deep;wild;silent;hidden
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;bold;quiet;sudden;big;personal;new
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,big;strong;deep;sudden;cold;bad;dark;quick;hidden;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,great;true;big;new;strong;total;simple;personal;clear;full
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,great;true;big;strong;simple;pure;sudden;quiet;personal;full
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,strong;deep;bad;big;blind;quick;wild;silent;personal;hot
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,true;simple;strong;pure;clear;total;personal;quiet;full;new
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,true;fair;strong;quick;blind;clear;total;personal;quiet;full
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,great;deep;true;big;new;simple;clear;personal;quiet;full
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,true;big;strong;deep;pure;quiet;sudden;personal;full;simple
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,true;great;quiet;full;simple;deep;personal;strong;clear;total
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,great;true;deep;simple;personal;quiet;strong;full;clear;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,bell,big;small;loud;old;new;metal;round;shiny;broken;simple
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,candle,small;big;bright;old;new;wax;tall;short;red;simple
