language1,language2,chi2_statistic,p_value,significant,cohens_d,cohens_d_interpretation,lang1_sample_size,lang2_sample_size
AR # Arabic,BN # Bengali,16.12063492063492,0.9872283567151616,False,-0.028704103013469894,Negligible effect,40,40
AR # Arabic,DE # German,9.644444444444446,0.9991377655044232,False,0.14937045194917978,Negligible effect,40,40
AR # Arabic,ES # Spanish,19.066666666666674,0.9386012386697345,False,-0.18904375172594454,Negligible effect,40,40
AR # Arabic,FA # Persian,9.700000000000001,0.99909136760156,False,-0.007191997214728218,Negligible effect,40,40
AR # Arabic,FR # French,13.066666666666666,0.992597270290496,False,0.08911186874846723,Negligible effect,40,40
AR # Arabic,GA # Irish,12.520634920634919,0.9947968885908928,False,0.085236766773044,Negligible effect,40,40
AR # Arabic,HE # Hebrew,12.977777777777776,0.9929984495418311,False,0.18332790410547076,Negligible effect,40,40
AR # Arabic,HI # Hindi,11.933333333333334,0.9945473897915643,False,0.1857657936492922,Negligible effect,40,40
AR # Arabic,IT # Italian,11.733333333333333,0.9970128137099797,False,0.034011944068688814,Negligible effect,40,40
AR # Arabic,JA # Japanese,13.73333333333333,0.9926458423867291,False,0.045413997204855734,Negligible effect,40,40
AR # Arabic,KO # Korean,12.533333333333331,0.9947525425762594,False,0.10724657661122272,Negligible effect,40,40
AR # Arabic,LV # Latvian,16.876190476190477,0.9814908467596068,False,-0.10189265220917831,Negligible effect,40,40
AR # Arabic,PL # Polish,19.466666666666665,0.9465597987937043,False,-0.08128295780517404,Negligible effect,40,40
AR # Arabic,PS # Pashto,11.200000000000001,0.9967812730722203,False,0.17992833616567802,Negligible effect,40,40
AR # Arabic,PT # Portuguese,19.26349206349207,0.9343183382787532,False,-0.05420573173480934,Negligible effect,40,40
AR # Arabic,RU # Russian,13.606349206349204,0.9848091101110739,False,-0.06610292573650645,Negligible effect,40,40
AR # Arabic,SQ # Albanian,9.51111111111111,0.9995679571573509,False,-0.06121626873706335,Negligible effect,40,40
AR # Arabic,SW # Swahili,14.087301587301587,0.9939663013824133,False,-0.07320276672614583,Negligible effect,40,40
AR # Arabic,TH # Thai,13.066666666666666,0.992597270290496,False,0.08911186874846723,Negligible effect,40,40
AR # Arabic,TR # Turkish,11.7,0.9970859941785686,False,-0.046970123148861995,Negligible effect,40,40
AR # Arabic,UR # Urdu,17.044444444444448,0.9720377885069938,False,0.12015655817768094,Negligible effect,40,40
AR # Arabic,VI # Vietnamese,16.152380952380952,0.97376940501412,False,-0.09268331247128989,Negligible effect,40,40
AR # Arabic,ZH # Mandarin,18.644444444444446,0.9471413636800083,False,0.1780120976546016,Negligible effect,40,40
BN # Bengali,DE # German,13.142857142857142,0.9922390635366152,False,0.1805193060167842,Negligible effect,40,40
BN # Bengali,ES # Spanish,23.453968253968256,0.8321773599667237,False,-0.1620425240111021,Negligible effect,40,40
BN # Bengali,FA # Persian,16.753968253968257,0.9658653199391065,False,0.02171817434675993,Negligible effect,40,40
BN # Bengali,FR # French,8.787301587301586,0.998854572670923,False,0.12102756977757463,Negligible effect,40,40
BN # Bengali,GA # Irish,15.535353535353536,0.980377236863297,False,0.11568890677628071,Negligible effect,40,40
BN # Bengali,HE # Hebrew,18.476190476190474,0.9503035919140198,False,0.2154745378012565,Small effect,40,40
BN # Bengali,HI # Hindi,7.490909090909092,0.9998533217312394,False,0.21635893423981006,Small effect,40,40
BN # Bengali,IT # Italian,14.12063492063492,0.9863104334623319,False,0.06471284409059468,Negligible effect,40,40
BN # Bengali,JA # Japanese,13.453968253968252,0.9906314942145272,False,0.07624303413025475,Negligible effect,40,40
BN # Bengali,KO # Korean,12.920634920634921,0.9897437598596968,False,0.1389207294544805,Negligible effect,40,40
BN # Bengali,LV # Latvian,14.842857142857142,0.9862013537095273,False,-0.07222314845095368,Negligible effect,40,40
BN # Bengali,PL # Polish,15.485714285714284,0.9728391691462652,False,-0.050702793800909654,Negligible effect,40,40
BN # Bengali,PS # Pashto,10.253968253968253,0.997504521826397,False,0.2121290675366057,Small effect,40,40
BN # Bengali,PT # Portuguese,22.761904761904763,0.8249199306709741,False,-0.025464368317623894,Negligible effect,40,40
BN # Bengali,RU # Russian,23.819047619047623,0.7801491266299212,False,-0.03697635047315568,Negligible effect,40,40
BN # Bengali,SQ # Albanian,13.898412698412697,0.9918795465050513,False,-0.032622776211462284,Negligible effect,40,40
BN # Bengali,SW # Swahili,13.033333333333331,0.9952808526028623,False,-0.045596442014135916,Negligible effect,40,40
BN # Bengali,TH # Thai,12.787301587301586,0.9905375561217926,False,0.12102756977757463,Negligible effect,40,40
BN # Bengali,TR # Turkish,14.753968253968253,0.980916066139565,False,-0.01818562603937391,Negligible effect,40,40
BN # Bengali,UR # Urdu,6.602020202020203,0.9999574628061165,False,0.149373065516822,Negligible effect,40,40
BN # Bengali,VI # Vietnamese,17.873015873015873,0.9468189246715089,False,-0.06458082098658478,Negligible effect,40,40
BN # Bengali,ZH # Mandarin,9.565079365079363,0.9976674924521299,False,0.2098365219245723,Small effect,40,40
DE # German,ES # Spanish,20.311111111111114,0.908188060343541,False,-0.3441111451869988,Small effect,40,40
DE # German,FA # Persian,9.61111111111111,0.9985640650608643,False,-0.158340752964851,Negligible effect,40,40
DE # German,FR # French,7.644444444444444,0.9996640868855302,False,-0.06960986129387106,Negligible effect,40,40
DE # German,GA # Irish,12.678210678210677,0.9942247411512208,False,-0.06625405549203435,Negligible effect,40,40
DE # German,HE # Hebrew,7.333333333333333,0.99976999816127,False,0.0322385551648111,Negligible effect,40,40
DE # German,HI # Hindi,13.424242424242422,0.9798343061342467,False,0.04206033957243401,Negligible effect,40,40
DE # German,IT # Italian,12.977777777777778,0.9929984495418311,False,-0.12346224262188005,Negligible effect,40,40
