Linguistic_Family,Sample_Size,Response_Entropy,Mean_Diversity
Austro-Asiatic,12,2.2516291665222057,6.0
Indo-European,156,2.8544278888150276,6.538461538461538
Indo-European-Albanian,12,2.6258145826840247,7.0
Indo-European-Bengali,12,2.3553885413419167,6.0
Japonic,12,2.284159126985805,6.0
Koreanic,12,2.8553885410533777,8.0
Niger-Congo,12,2.5220552078643137,7.0
Semitic,24,2.819773833586783,7.0
Sino-Tibetan,12,2.6258145826840247,7.0
Tai-Kadai,12,2.5220552078643137,7.0
Turkic,12,2.2516291665222057,6.0
