language1,language2,entropy1,entropy2,entropy_difference,entropy_effect_size,entropy_effect_interpretation,diversity1,diversity2,diversity_difference,diversity_effect_size,diversity_effect_interpretation,family1,family2,same_family
AR # Arabic,BN # Bengali,2.5849624997112692,2.3553885413419167,0.22957395836935257,0.08881133029782642,Negligible,0.4782608695652174,0.45454545454545453,0.023715415019762875,0.049586776859504196,Negligible,Semitic,Indo-European-Bengali,False
AR # Arabic,DE # German,2.5849624997112692,2.8553885410533777,0.27042604134210846,0.09470726573776399,Negligible,0.4782608695652174,0.5238095238095238,0.04554865424430643,0.08695652173913046,Negligible,Semitic,Indo-European,False
AR # Arabic,ES # Spanish,2.5849624997112692,2.5220552078643137,0.06290729184695554,0.024335862456024815,Negligible,0.4782608695652174,0.4666666666666667,0.011594202898550732,0.024242424242424256,Negligible,Semitic,Indo-European,False
AR # Arabic,FA # Persian,2.5849624997112692,2.5220552078643137,0.06290729184695554,0.024335862456024815,Negligible,0.4782608695652174,0.4523809523809524,0.025879917184265022,0.05411255411255413,Negligible,Semitic,Indo-European,False
AR # Arabic,FR # French,2.5849624997112692,2.2516291665222057,0.33333333318906355,0.12895093573941427,Small,0.4782608695652174,0.4634146341463415,0.01484623541887592,0.031042128603104194,Negligible,Semitic,Indo-European,False
AR # Arabic,GA # Irish,2.5849624997112692,2.2516291665222057,0.33333333318906355,0.12895093573941427,Small,0.4782608695652174,0.5128205128205128,0.03455964325529537,0.06739130434782598,Negligible,Semitic,Indo-European,False
AR # Arabic,HE # Hebrew,2.5849624997112692,2.5220552078643137,0.06290729184695554,0.024335862456024815,Negligible,0.4782608695652174,0.48717948717948717,0.008918617614269764,0.01830663615560636,Negligible,Semitic,Semitic,True
AR # Arabic,HI # Hindi,2.5849624997112692,2.6258145826840247,0.040852082972755444,0.01555787040035315,Negligible,0.4782608695652174,0.425,0.05326086956521742,0.11136363636363641,Small,Semitic,Indo-European,False
AR # Arabic,IT # Italian,2.5849624997112692,2.6258145826840247,0.040852082972755444,0.01555787040035315,Negligible,0.4782608695652174,0.5,0.021739130434782594,0.04347826086956519,Negligible,Semitic,Indo-European,False
AR # Arabic,JA # Japanese,2.5849624997112692,2.284159126985805,0.3008033727254644,0.1163666292099259,Small,0.4782608695652174,0.4418604651162791,0.03640040444893833,0.07610993657505287,Negligible,Semitic,Japonic,False
AR # Arabic,KO # Korean,2.5849624997112692,2.8553885410533777,0.27042604134210846,0.09470726573776399,Negligible,0.4782608695652174,0.4888888888888889,0.010628019323671467,0.021739130434782546,Negligible,Semitic,Koreanic,False
AR # Arabic,LV # Latvian,2.5849624997112692,2.3553885413419167,0.22957395836935257,0.08881133029782642,Negligible,0.4782608695652174,0.4418604651162791,0.03640040444893833,0.07610993657505287,Negligible,Semitic,Indo-European,False
AR # Arabic,PL # Polish,2.5849624997112692,2.3553885413419167,0.22957395836935257,0.08881133029782642,Negligible,0.4782608695652174,0.425531914893617,0.05272895467160038,0.11025145067698261,Small,Semitic,Indo-European,False
AR # Arabic,PS # Pashto,2.5849624997112692,2.2516291665222057,0.33333333318906355,0.12895093573941427,Small,0.4782608695652174,0.5,0.021739130434782594,0.04347826086956519,Negligible,Semitic,Indo-European,False
AR # Arabic,PT # Portuguese,2.5849624997112692,2.5220552078643137,0.06290729184695554,0.024335862456024815,Negligible,0.4782608695652174,0.525,0.046739130434782616,0.08902691511387165,Negligible,Semitic,Indo-European,False
AR # Arabic,RU # Russian,2.5849624997112692,2.2212518351388493,0.36371066457241996,0.1407024916659507,Small,0.4782608695652174,0.5,0.021739130434782594,0.04347826086956519,Negligible,Semitic,Indo-European,False
AR # Arabic,SQ # Albanian,2.5849624997112692,2.6258145826840247,0.040852082972755444,0.01555787040035315,Negligible,0.4782608695652174,0.46153846153846156,0.01672240802675584,0.03496503496503494,Negligible,Semitic,Indo-European-Albanian,False
AR # Arabic,SW # Swahili,2.5849624997112692,2.5220552078643137,0.06290729184695554,0.024335862456024815,Negligible,0.4782608695652174,0.4888888888888889,0.010628019323671467,0.021739130434782546,Negligible,Semitic,Niger-Congo,False
AR # Arabic,TH # Thai,2.5849624997112692,2.5220552078643137,0.06290729184695554,0.024335862456024815,Negligible,0.4782608695652174,0.4666666666666667,0.011594202898550732,0.024242424242424256,Negligible,Semitic,Tai-Kadai,False
AR # Arabic,TR # Turkish,2.5849624997112692,2.2516291665222057,0.33333333318906355,0.12895093573941427,Small,0.4782608695652174,0.4772727272727273,0.0009881422924901129,0.0020661157024793268,Negligible,Semitic,Turkic,False
AR # Arabic,UR # Urdu,2.5849624997112692,2.2516291665222057,0.33333333318906355,0.12895093573941427,Small,0.4782608695652174,0.4444444444444444,0.033816425120772986,0.07070707070707079,Negligible,Semitic,Indo-European,False
AR # Arabic,VI # Vietnamese,2.5849624997112692,2.2516291665222057,0.33333333318906355,0.12895093573941427,Small,0.4782608695652174,0.4594594594594595,0.01880141010575792,0.03931203931203929,Negligible,Semitic,Austro-Asiatic,False
AR # Arabic,ZH # Mandarin,2.5849624997112692,2.6258145826840247,0.040852082972755444,0.01555787040035315,Negligible,0.4782608695652174,0.4318181818181818,0.04644268774703558,0.09710743801652895,Negligible,Semitic,Sino-Tibetan,False
BN # Bengali,DE # German,2.3553885413419167,2.8553885410533777,0.49999999971146103,0.17510751777654984,Small,0.45454545454545453,0.5238095238095238,0.0692640692640693,0.13223140495867775,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,ES # Spanish,2.3553885413419167,2.5220552078643137,0.16666666652239703,0.06608367096909469,Negligible,0.45454545454545453,0.4666666666666667,0.012121212121212144,0.02597402597402602,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,FA # Persian,2.3553885413419167,2.5220552078643137,0.16666666652239703,0.06608367096909469,Negligible,0.45454545454545453,0.4523809523809524,0.0021645021645021467,0.004761904761904723,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,FR # French,2.3553885413419167,2.2516291665222057,0.10375937481971098,0.044051914577370316,Negligible,0.45454545454545453,0.4634146341463415,0.008869179600886956,0.019138755980861327,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,GA # Irish,2.3553885413419167,2.2516291665222057,0.10375937481971098,0.044051914577370316,Negligible,0.45454545454545453,0.5128205128205128,0.058275058275058245,0.11363636363636359,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,HE # Hebrew,2.3553885413419167,2.5220552078643137,0.16666666652239703,0.06608367096909469,Negligible,0.45454545454545453,0.48717948717948717,0.03263403263403264,0.06698564593301437,Negligible,Indo-European-Bengali,Semitic,False
BN # Bengali,HI # Hindi,2.3553885413419167,2.6258145826840247,0.270426041342108,0.10298748553132303,Small,0.45454545454545453,0.425,0.02954545454545454,0.06499999999999999,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,IT # Italian,2.3553885413419167,2.6258145826840247,0.270426041342108,0.10298748553132303,Small,0.45454545454545453,0.5,0.04545454545454547,0.09090909090909094,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,JA # Japanese,2.3553885413419167,2.284159126985805,0.07122941435611185,0.03024104647954638,Negligible,0.45454545454545453,0.4418604651162791,0.012684989429175453,0.027906976744185998,Negligible,Indo-European-Bengali,Japonic,False
BN # Bengali,KO # Korean,2.3553885413419167,2.8553885410533777,0.49999999971146103,0.17510751777654984,Small,0.45454545454545453,0.4888888888888889,0.03434343434343434,0.07024793388429752,Negligible,Indo-European-Bengali,Koreanic,False
BN # Bengali,LV # Latvian,2.3553885413419167,2.3553885413419167,0.0,0.0,Negligible,0.45454545454545453,0.4418604651162791,0.012684989429175453,0.027906976744185998,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,PL # Polish,2.3553885413419167,2.3553885413419167,0.0,0.0,Negligible,0.45454545454545453,0.425531914893617,0.029013539651837505,0.06382978723404252,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,PS # Pashto,2.3553885413419167,2.2516291665222057,0.10375937481971098,0.044051914577370316,Negligible,0.45454545454545453,0.5,0.04545454545454547,0.09090909090909094,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,PT # Portuguese,2.3553885413419167,2.5220552078643137,0.16666666652239703,0.06608367096909469,Negligible,0.45454545454545453,0.525,0.07045454545454549,0.13419913419913426,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,RU # Russian,2.3553885413419167,2.2212518351388493,0.1341367062030674,0.056948865908402,Negligible,0.45454545454545453,0.5,0.04545454545454547,0.09090909090909094,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,SQ # Albanian,2.3553885413419167,2.6258145826840247,0.270426041342108,0.10298748553132303,Small,0.45454545454545453,0.46153846153846156,0.006993006993007034,0.015151515151515239,Negligible,Indo-European-Bengali,Indo-European-Albanian,False
BN # Bengali,SW # Swahili,2.3553885413419167,2.5220552078643137,0.16666666652239703,0.06608367096909469,Negligible,0.45454545454545453,0.4888888888888889,0.03434343434343434,0.07024793388429752,Negligible,Indo-European-Bengali,Niger-Congo,False
BN # Bengali,TH # Thai,2.3553885413419167,2.5220552078643137,0.16666666652239703,0.06608367096909469,Negligible,0.45454545454545453,0.4666666666666667,0.012121212121212144,0.02597402597402602,Negligible,Indo-European-Bengali,Tai-Kadai,False
BN # Bengali,TR # Turkish,2.3553885413419167,2.2516291665222057,0.10375937481971098,0.044051914577370316,Negligible,0.45454545454545453,0.4772727272727273,0.022727272727272763,0.04761904761904769,Negligible,Indo-European-Bengali,Turkic,False
BN # Bengali,UR # Urdu,2.3553885413419167,2.2516291665222057,0.10375937481971098,0.044051914577370316,Negligible,0.45454545454545453,0.4444444444444444,0.01010101010101011,0.022222222222222244,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,VI # Vietnamese,2.3553885413419167,2.2516291665222057,0.10375937481971098,0.044051914577370316,Negligible,0.45454545454545453,0.4594594594594595,0.004914004914004955,0.010695187165775489,Negligible,Indo-European-Bengali,Austro-Asiatic,False
BN # Bengali,ZH # Mandarin,2.3553885413419167,2.6258145826840247,0.270426041342108,0.10298748553132303,Small,0.45454545454545453,0.4318181818181818,0.022727272727272707,0.049999999999999954,Negligible,Indo-European-Bengali,Sino-Tibetan,False
DE # German,ES # Spanish,2.8553885410533777,2.5220552078643137,0.333333333189064,0.11673834520120839,Small,0.5238095238095238,0.4666666666666667,0.05714285714285716,0.10909090909090913,Small,Indo-European,Indo-European,True
DE # German,FA # Persian,2.8553885410533777,2.5220552078643137,0.333333333189064,0.11673834520120839,Small,0.5238095238095238,0.4523809523809524,0.07142857142857145,0.1363636363636364,Small,Indo-European,Indo-European,True
DE # German,FR # French,2.8553885410533777,2.2516291665222057,0.603759374531172,0.2114456109389722,Small,0.5238095238095238,0.4634146341463415,0.06039488966318235,0.11529933481152993,Small,Indo-European,Indo-European,True
DE # German,GA # Irish,2.8553885410533777,2.2516291665222057,0.603759374531172,0.2114456109389722,Small,0.5238095238095238,0.5128205128205128,0.010989010989011061,0.020979020979021115,Negligible,Indo-European,Indo-European,True
DE # German,HE # Hebrew,2.8553885410533777,2.5220552078643137,0.333333333189064,0.11673834520120839,Small,0.5238095238095238,0.48717948717948717,0.036630036630036666,0.06993006993006999,Negligible,Indo-European,Semitic,False
DE # German,HI # Hindi,2.8553885410533777,2.6258145826840247,0.22957395836935302,0.08040025203878601,Negligible,0.5238095238095238,0.425,0.09880952380952385,0.18863636363636369,Small,Indo-European,Indo-European,True
DE # German,IT # Italian,2.8553885410533777,2.6258145826840247,0.22957395836935302,0.08040025203878601,Negligible,0.5238095238095238,0.5,0.023809523809523836,0.045454545454545504,Negligible,Indo-European,Indo-European,True
