language1,language2,chi2_statistic,p_value,significant,cohens_d,cohens_d_interpretation,lang1_sample_size,lang2_sample_size
AR # Arabic,BN # Bengali,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,DE # German,1.3333333333333333,0.9997866811294408,False,-0.12264631233838462,Negligible effect,12,12
AR # Arabic,ES # Spanish,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,FA # Persian,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,FR # French,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,GA # Irish,1.3333333333333333,0.9997866811294408,False,-0.12264631233838462,Negligible effect,12,12
AR # Arabic,HE # Hebrew,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,HI # Hindi,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,IT # Italian,1.3333333333333333,0.9997866811294408,False,-0.12264631233838462,Negligible effect,12,12
AR # Arabic,JA # Japanese,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,KO # Korean,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,LV # Latvian,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,PL # Polish,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,PS # Pashto,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,PT # Portuguese,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,RU # Russian,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,SQ # Albanian,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,SW # Swahili,1.3333333333333333,0.9997866811294408,False,-0.12264631233838462,Negligible effect,12,12
AR # Arabic,TH # Thai,2.0,0.9984958817174162,False,0.0,Negligible effect,12,12
AR # Arabic,TR # Turkish,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,UR # Urdu,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,VI # Vietnamese,0.0,1.0,False,0.0,Negligible effect,12,12
AR # Arabic,ZH # Mandarin,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,DE # German,1.3333333333333333,0.9997866811294408,False,-0.12264631233838462,Negligible effect,12,12
BN # Bengali,ES # Spanish,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,FA # Persian,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,FR # French,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,GA # Irish,1.3333333333333333,0.9997866811294408,False,-0.12264631233838462,Negligible effect,12,12
BN # Bengali,HE # Hebrew,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,HI # Hindi,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,IT # Italian,1.3333333333333333,0.9997866811294408,False,-0.12264631233838462,Negligible effect,12,12
BN # Bengali,JA # Japanese,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,KO # Korean,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,LV # Latvian,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,PL # Polish,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,PS # Pashto,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,PT # Portuguese,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,RU # Russian,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,SQ # Albanian,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,SW # Swahili,1.3333333333333333,0.9997866811294408,False,-0.12264631233838462,Negligible effect,12,12
BN # Bengali,TH # Thai,2.0,0.9984958817174162,False,0.0,Negligible effect,12,12
BN # Bengali,TR # Turkish,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,UR # Urdu,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,VI # Vietnamese,0.0,1.0,False,0.0,Negligible effect,12,12
BN # Bengali,ZH # Mandarin,0.0,1.0,False,0.0,Negligible effect,12,12
DE # German,ES # Spanish,1.3333333333333333,0.9997866811294408,False,0.12264631233838462,Negligible effect,12,12
DE # German,FA # Persian,1.3333333333333333,0.9997866811294408,False,0.12264631233838462,Negligible effect,12,12
DE # German,FR # French,1.3333333333333333,0.9997866811294408,False,0.12264631233838462,Negligible effect,12,12
DE # German,GA # Irish,0.0,1.0,False,0.0,Negligible effect,12,12
DE # German,HE # Hebrew,1.3333333333333333,0.9997866811294408,False,0.12264631233838462,Negligible effect,12,12
DE # German,HI # Hindi,1.3333333333333333,0.9997866811294408,False,0.12264631233838462,Negligible effect,12,12
DE # German,IT # Italian,0.0,1.0,False,0.0,Negligible effect,12,12
DE # German,JA # Japanese,1.3333333333333333,0.9997866811294408,False,0.12264631233838462,Negligible effect,12,12
