Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,strong;deep;red;hot;wild;bitter;quick;dark;fierce;loud
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,courage,brave;bold;great;true;strong;fearless;heroic;powerful;amazing;real
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,fear,deep;cold;dark;sudden;big;heavy;silent;terrible;sharp;hidden
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;pure;new;great;wide;happy;strong;bright
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,happiness,pure;warm;bright;big;true;sweet;deep;real;light;joyful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,hate,strong;deep;dark;bitter;cold;fierce;heavy;black;angry;hard
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;good;strong;real;bright;open;fair;simple
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;good;right;pure;honest;equal;firm
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;clear;strong;rich;new;important;vast
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;pure;strong;kind;soft;bright;real
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;pure;true;soft;deep;bright;gentle;happy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;clear;strong;old;pure;bright;useful;calm
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;shiny;old;golden;sweet;heavy;bright;round
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;tall;glowing;quiet;pretty;simple
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,carpet,soft;thick;colorful;warm;big;old;beautiful;red;heavy;nice
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,coin,small;shiny;old;round;silver;golden;heavy;rare;dirty;cold
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;rich;big;bright;precious
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,flag,colorful;bright;national;big;tall;proud;waving;strong;red;white
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,mask,scary;black;funny;white;old;strange;dark;small;wooden;hidden
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;silver;golden;pretty;expensive;light;delicate;colorful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;pretty;dark;bright;amazing;artistic
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,ring,small;shiny;golden;silver;pretty;expensive;round;beautiful;light;delicate
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,statue,tall;old;heavy;stone;big;famous;beautiful;white;cold;silent
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,vase,delicate;beautiful;small;old;colorful;tall;glass;pretty;empty;decorative
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,cloud,white;fluffy;big;dark;soft;high;gray;light;heavy;moving
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;powerful;dangerous;loud;terrible;deep;destructive;quick
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;silent;dark;wet;mysterious;gray;soft
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,lightning,bright;quick;loud;sharp;dangerous;fast;white;powerful;scary;sudden
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,rain,heavy;soft;cold;light;wet;quiet;dark;fresh;cool;gentle
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,rainbow,colorful;beautiful;bright;rare;amazing;happy;pretty;wide;light;magical
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;beautiful;quiet;fresh;thick;icy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;dangerous;heavy;wild;scary;wet;powerful;fast
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;strong;sudden;powerful;dark;heavy;sharp;frightening
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;powerful;dangerous;cold;wet;moving;rough
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,volcano,hot;dangerous;active;big;tall;dark;scary;powerful;fiery;smoky
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;soft;warm;loud;gentle;sharp;wild;cool
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,apple,red;sweet;fresh;round;juicy;green;small;tasty;crisp;shiny
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,banana,yellow;sweet;long;soft;fresh;ripe;tasty;curved;healthy;small
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,beef,red;fresh;tender;tasty;juicy;thick;cooked;expensive;soft;raw
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,bread,fresh;soft;warm;white;brown;tasty;thick;hard;small;round
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;tasty;raw;cooked;bitter;soft;hard
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,cheese,yellow;soft;tasty;white;strong;creamy;smelly;hard;fresh;melted
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,chicken,tasty;juicy;fresh;cooked;tender;white;small;roasted;soft;spicy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,egg,white;small;fresh;boiled;round;yellow;soft;hard;tasty;raw
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,fish,fresh;tasty;small;big;silver;raw;cooked;salty;wet;slippery
