NounCategory,CosineDistance_mean,CosineDistance_min,CosineDistance_max,CosineDistance_count,CosineDistance_std,JaccardDistance_mean,JaccardDistance_min,JaccardDistance_max,JaccardDistance_count,JaccardDistance_std,CosineDistance_percentile,JaccardDistance_percentile,combined_uniqueness_score
Spatial Concepts,0.04692767484689468,0.0,0.20040099322795868,3312,0.03516372183658445,0.35549809578741803,0.0,0.8235294117647058,3312,0.19016153680279324,100.0,100.0,100.0
Time Concepts,0.03444165552159724,0.0,0.14737699925899506,3312,0.026323033470540907,0.2822079289470594,0.0,0.75,3312,0.18009584474970325,63.18829456862459,68.69027624730752,65.93928540796605
Food Items,0.03385396198594878,0.0,0.233815997838974,3312,0.030369350831183757,0.27765200071785745,0.0,0.8235294117647058,3312,0.1807263334399245,61.455636564933805,66.74397348333487,64.09980502413434
Human Roles,0.028206405813274507,0.0,0.12822699546813965,3312,0.019579660247184272,0.29019634250612514,0.0,0.75,3312,0.14862175534268637,44.80532001333108,72.10294444741429,58.45413223037268
Environmental Phenomena,0.027192310693866156,0.0,0.16082599759101868,3312,0.02273423069203816,0.2628970516198777,0.0,0.75,3312,0.17677759811637936,41.815530406052346,60.440626115480455,51.1280782607664
Social Relationships,0.025074697795250834,0.0,0.1310340017080307,3312,0.021490572387484964,0.2643367502063154,0.0,0.7333333333333334,3312,0.15163192364653919,35.572312274588235,61.05566858259195,48.31399042859009
Abstract Concepts,0.025683503044484607,0.0,0.10548999905586243,3312,0.01823049139549237,0.24849586806108545,0.0,0.6666666666666667,3312,0.14397228805391513,37.36721254792534,54.28840817989094,45.82781036390814
Places,0.02495946879570648,0.0,0.10737200081348419,3312,0.019726982058725317,0.2138545834198008,0.0,0.5714285714285714,3312,0.14277161596674892,35.23259023204864,39.48957363883283,37.36108193544074
Inanimate Objects,0.02438653140332762,0.0,0.13606399297714233,3312,0.021564934057048832,0.21652853989810508,0.0,0.6666666666666667,3312,0.15642398154839446,33.54343679015547,40.631893847283045,37.08766531871926
Cultural Artifacts,0.019643841880749136,0.0,0.09152500331401825,3312,0.01752617367228717,0.17869358901967594,0.0,0.5714285714285714,3312,0.1393314755160632,19.56087876992986,24.468717922460588,22.014798346195224
Neutral Animals,0.016138708059493776,0.0,0.05788800120353699,3312,0.013036470459958545,0.18215641041727995,0.0,0.5714285714285714,3312,0.1317764892472189,9.226924419548475,25.948042994813818,17.587483707181146
Plants,0.013009063418869567,0.0,0.07166200131177902,3312,0.014429877013744985,0.12141692848214586,0.0,0.46153846153846156,3312,0.11862336524915186,0.0,0.0,0.0
