language1,language2,entropy1,entropy2,entropy_difference,entropy_effect_size,entropy_effect_interpretation,diversity1,diversity2,diversity_difference,diversity_effect_size,diversity_effect_interpretation,family1,family2,same_family
AR # Arabic,BN # Bengali,5.334230281001894,5.351210929600837,0.01698064859894366,0.0031732347729021954,Negligible,0.18106995884773663,0.17269076305220885,0.008379195795527788,0.046276013143483015,Negligible,Semitic,Indo-European-Bengali,False
AR # Arabic,DE # German,5.334230281001894,5.242964660337522,0.09126562066437138,0.017109426450788615,Negligible,0.18106995884773663,0.21224489795918366,0.03117493911144703,0.14688192465970237,Small,Semitic,Indo-European,False
AR # Arabic,ES # Spanish,5.334230281001894,5.415165696173922,0.08093541517202851,0.014946064388983207,Negligible,0.18106995884773663,0.20085470085470086,0.01978474200696423,0.09850275807722615,Negligible,Semitic,Indo-European,False
AR # Arabic,FA # Persian,5.334230281001894,5.258188940216246,0.07604134078564773,0.014255353964839587,Negligible,0.18106995884773663,0.18473895582329317,0.003668996975556532,0.01986044015029514,Negligible,Semitic,Indo-European,False
AR # Arabic,FR # French,5.334230281001894,5.216539005676045,0.117691275325849,0.0220634035514012,Negligible,0.18106995884773663,0.1856060606060606,0.004536101758323974,0.02443940539178631,Negligible,Semitic,Indo-European,False
AR # Arabic,GA # Irish,5.334230281001894,5.297003656694579,0.037226624307314715,0.006978818376083059,Negligible,0.18106995884773663,0.17670682730923695,0.004363131538499682,0.024096385542168693,Negligible,Semitic,Indo-European,False
AR # Arabic,HE # Hebrew,5.334230281001894,5.233578614191033,0.1006516668108608,0.018869014179859527,Negligible,0.18106995884773663,0.19421487603305784,0.013144917185321209,0.06768233954995176,Negligible,Semitic,Semitic,True
AR # Arabic,HI # Hindi,5.334230281001894,5.328230667682524,0.005999613319369601,0.0011247383414880868,Negligible,0.18106995884773663,0.18823529411764706,0.007165335269910422,0.03806584362139912,Negligible,Semitic,Indo-European,False
AR # Arabic,IT # Italian,5.334230281001894,5.19242356438474,0.14180671661715394,0.026584288481546266,Negligible,0.18106995884773663,0.1862348178137652,0.005164858966028557,0.027733047056718554,Negligible,Semitic,Indo-European,False
AR # Arabic,JA # Japanese,5.334230281001894,5.347643951333662,0.013413670331768657,0.002508332726307141,Negligible,0.18106995884773663,0.17695473251028807,0.004115226337448569,0.022727272727272776,Negligible,Semitic,Japonic,False
AR # Arabic,KO # Korean,5.334230281001894,5.2464859060379885,0.08774437496390508,0.016449303899835503,Negligible,0.18106995884773663,0.18875502008032127,0.007685061232584639,0.04071447333858671,Negligible,Semitic,Koreanic,False
AR # Arabic,LV # Latvian,5.334230281001894,5.155005023042669,0.1792252579592244,0.03359908525088304,Negligible,0.18106995884773663,0.1728395061728395,0.008230452674897137,0.04545454545454555,Negligible,Semitic,Indo-European,False
AR # Arabic,PL # Polish,5.334230281001894,5.259922443013784,0.07430783798810925,0.013930376844201876,Negligible,0.18106995884773663,0.17695473251028807,0.004115226337448569,0.022727272727272776,Negligible,Semitic,Indo-European,False
AR # Arabic,PS # Pashto,5.334230281001894,5.333374722877709,0.0008555581241846966,0.00016039017423597293,Negligible,0.18106995884773663,0.20816326530612245,0.027093306458385813,0.13015411926087303,Small,Semitic,Indo-European,False
AR # Arabic,PT # Portuguese,5.334230281001894,5.188821868216788,0.1454084127851054,0.02725949295870937,Negligible,0.18106995884773663,0.2,0.018930041152263377,0.09465020576131689,Negligible,Semitic,Indo-European,False
AR # Arabic,RU # Russian,5.334230281001894,5.198078706969961,0.13615157403193212,0.025524127542232704,Negligible,0.18106995884773663,0.18699186991869918,0.005921911070962543,0.031669350509930125,Negligible,Semitic,Indo-European,False
AR # Arabic,SQ # Albanian,5.334230281001894,5.203067751088011,0.13116252991388233,0.024588839064751986,Negligible,0.18106995884773663,0.17928286852589642,0.0017870903218402123,0.009869612459253899,Negligible,Semitic,Indo-European-Albanian,False
AR # Arabic,SW # Swahili,5.334230281001894,5.3634208219259545,0.029190540924060926,0.0054425229519056975,Negligible,0.18106995884773663,0.18032786885245902,0.0007420899952776117,0.004098360655737719,Negligible,Semitic,Niger-Congo,False
AR # Arabic,TH # Thai,5.334230281001894,5.131506530949991,0.20272375005190213,0.03800431165746857,Negligible,0.18106995884773663,0.18518518518518517,0.004115226337448541,0.022222222222222122,Negligible,Semitic,Tai-Kadai,False
AR # Arabic,TR # Turkish,5.334230281001894,5.236401084565614,0.09782919643627963,0.018339889971511505,Negligible,0.18106995884773663,0.17721518987341772,0.0038547689743189117,0.021288837744533988,Negligible,Semitic,Turkic,False
AR # Arabic,UR # Urdu,5.334230281001894,5.372749284104717,0.038519003102823746,0.007169328227688242,Negligible,0.18106995884773663,0.19540229885057472,0.01433234000283809,0.07334785766158317,Negligible,Semitic,Indo-European,False
AR # Arabic,VI # Vietnamese,5.334230281001894,5.200332985360289,0.13389729564160469,0.02510152141696733,Negligible,0.18106995884773663,0.17427385892116182,0.006796099926574817,0.037533006412674555,Negligible,Semitic,Austro-Asiatic,False
AR # Arabic,ZH # Mandarin,5.334230281001894,5.262320360598009,0.07190992040388444,0.013480842898739286,Negligible,0.18106995884773663,0.20080321285140562,0.019733254003668987,0.09827160493827156,Negligible,Semitic,Sino-Tibetan,False
BN # Bengali,DE # German,5.351210929600837,5.242964660337522,0.10824626926331504,0.020228368996732755,Negligible,0.17269076305220885,0.21224489795918366,0.03955413490697482,0.1863608279270929,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,ES # Spanish,5.351210929600837,5.415165696173922,0.06395476657308485,0.011810306491317894,Negligible,0.17269076305220885,0.20085470085470086,0.028163937802492017,0.14022045629325813,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,FA # Persian,5.351210929600837,5.258188940216246,0.09302198938459139,0.017383353152840526,Negligible,0.17269076305220885,0.18473895582329317,0.01204819277108432,0.06521739130434774,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,FR # French,5.351210929600837,5.216539005676045,0.13467192392479266,0.025166625964945514,Negligible,0.17269076305220885,0.1856060606060606,0.012915297553851762,0.06958446029014011,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,GA # Irish,5.351210929600837,5.297003656694579,0.054207272906258375,0.010129907719840498,Negligible,0.17269076305220885,0.17670682730923695,0.004016064257028107,0.022727272727272697,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,HE # Hebrew,5.351210929600837,5.233578614191033,0.11763231540980446,0.021982373140835808,Negligible,0.17269076305220885,0.19421487603305784,0.021524112980848997,0.11082628385883952,Small,Indo-European-Bengali,Semitic,False
BN # Bengali,HI # Hindi,5.351210929600837,5.328230667682524,0.02298026191831326,0.004294404055574656,Negligible,0.17269076305220885,0.18823529411764706,0.01554453106543821,0.08258032128514049,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,IT # Italian,5.351210929600837,5.19242356438474,0.1587873652160976,0.029673165065825954,Negligible,0.17269076305220885,0.1862348178137652,0.013544054761556346,0.07272568535009602,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,JA # Japanese,5.351210929600837,5.347643951333662,0.0035669782671750028,0.0006665740360642211,Negligible,0.17269076305220885,0.17695473251028807,0.00426396945807922,0.024096385542168614,Negligible,Indo-European-Bengali,Japonic,False
BN # Bengali,KO # Korean,5.351210929600837,5.2464859060379885,0.10472502356284874,0.019570341169612704,Negligible,0.17269076305220885,0.18875502008032127,0.016064257028112428,0.08510638297872329,Negligible,Indo-European-Bengali,Koreanic,False
BN # Bengali,LV # Latvian,5.351210929600837,5.155005023042669,0.19620590655816805,0.03666570223812943,Negligible,0.17269076305220885,0.1728395061728395,0.0001487431206306511,0.0008605851979344814,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,PL # Polish,5.351210929600837,5.259922443013784,0.09128848658705291,0.01705940726090242,Negligible,0.17269076305220885,0.17695473251028807,0.00426396945807922,0.024096385542168614,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,PS # Pashto,5.351210929600837,5.333374722877709,0.017836206723128356,0.003333115991460051,Negligible,0.17269076305220885,0.20816326530612245,0.0354725022539136,0.17040711867076141,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,PT # Portuguese,5.351210929600837,5.188821868216788,0.16238906138404907,0.030346226960663306,Negligible,0.17269076305220885,0.2,0.027309236947791166,0.13654618473895583,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,RU # Russian,5.351210929600837,5.198078706969961,0.15313222263087578,0.028616368266069895,Negligible,0.17269076305220885,0.18699186991869918,0.014301106866490332,0.07647983237297004,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,SQ # Albanian,5.351210929600837,5.203067751088011,0.148143178512826,0.027684047678508617,Negligible,0.17269076305220885,0.17928286852589642,0.006592105473687576,0.03676929941990181,Negligible,Indo-European-Bengali,Indo-European-Albanian,False
BN # Bengali,SW # Swahili,5.351210929600837,5.3634208219259545,0.012209892325117266,0.0022765120863167338,Negligible,0.17269076305220885,0.18032786885245902,0.007637105800250177,0.04235122307411462,Negligible,Indo-European-Bengali,Niger-Congo,False
BN # Bengali,TH # Thai,5.351210929600837,5.131506530949991,0.2197043986508458,0.04105694982709908,Negligible,0.17269076305220885,0.18518518518518517,0.01249442213297633,0.06746987951807218,Negligible,Indo-European-Bengali,Tai-Kadai,False
BN # Bengali,TR # Turkish,5.351210929600837,5.236401084565614,0.11480984503522329,0.021454927967824902,Negligible,0.17269076305220885,0.17721518987341772,0.004524426821208877,0.02553069420539295,Negligible,Indo-European-Bengali,Turkic,False
BN # Bengali,UR # Urdu,5.351210929600837,5.372749284104717,0.021538354503880086,0.0040088143639237595,Negligible,0.17269076305220885,0.19540229885057472,0.02271153579836588,0.11622962437987243,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,VI # Vietnamese,5.351210929600837,5.200332985360289,0.15087794424054835,0.028195103169256455,Negligible,0.17269076305220885,0.17427385892116182,0.0015830958689529717,0.00908395486708729,Negligible,Indo-European-Bengali,Austro-Asiatic,False
BN # Bengali,ZH # Mandarin,5.351210929600837,5.262320360598009,0.0888905690028281,0.01661129979218717,Negligible,0.17269076305220885,0.20080321285140562,0.028112449799196776,0.13999999999999996,Small,Indo-European-Bengali,Sino-Tibetan,False
DE # German,ES # Spanish,5.242964660337522,5.415165696173922,0.1722010358363999,0.03179977225037976,Negligible,0.21224489795918366,0.20085470085470086,0.011390197104482802,0.05366535174227474,Negligible,Indo-European,Indo-European,True
DE # German,FA # Persian,5.242964660337522,5.258188940216246,0.015224279878723657,0.0028953466776904272,Negligible,0.21224489795918366,0.18473895582329317,0.0275059421358905,0.12959530429409946,Small,Indo-European,Indo-European,True
DE # German,FR # French,5.242964660337522,5.216539005676045,0.026425654661477616,0.005040212241250627,Negligible,0.21224489795918366,0.1856060606060606,0.026638837353123057,0.12550990675990673,Small,Indo-European,Indo-European,True
DE # German,GA # Irish,5.242964660337522,5.297003656694579,0.05403899635705667,0.010201804616230515,Negligible,0.21224489795918366,0.17670682730923695,0.03553807064994671,0.16743898671609508,Small,Indo-European,Indo-European,True
DE # German,HE # Hebrew,5.242964660337522,5.233578614191033,0.009386046146489413,0.001790217320649492,Negligible,0.21224489795918366,0.19421487603305784,0.018030021926125822,0.08494914176732359,Negligible,Indo-European,Semitic,False
DE # German,HI # Hindi,5.242964660337522,5.328230667682524,0.08526600734500178,0.016002686944874257,Negligible,0.21224489795918366,0.18823529411764706,0.02400960384153661,0.11312217194570133,Small,Indo-European,Indo-European,True
DE # German,IT # Italian,5.242964660337522,5.19242356438474,0.050541095952782555,0.009639793366360191,Negligible,0.21224489795918366,0.1862348178137652,0.026010080145418474,0.12254749299283704,Small,Indo-European,Indo-European,True
DE # German,JA # Japanese,5.242964660337522,5.347643951333662,0.10467929099614004,0.019574843042800896,Negligible,0.21224489795918366,0.17695473251028807,0.0352901654488956,0.16627097182652736,Small,Indo-European,Japonic,False
DE # German,KO # Korean,5.242964660337522,5.2464859060379885,0.0035212457004663023,0.0006711627103417603,Negligible,0.21224489795918366,0.18875502008032127,0.023489877878862392,0.11067346308310166,Small,Indo-European,Koreanic,False
DE # German,LV # Latvian,5.242964660337522,5.155005023042669,0.08795963729485301,0.01677669848897866,Negligible,0.21224489795918366,0.1728395061728395,0.03940539178634417,0.18566001899335233,Small,Indo-European,Indo-European,True
DE # German,PL # Polish,5.242964660337522,5.259922443013784,0.016957782676262134,0.003223960592572124,Negligible,0.21224489795918366,0.17695473251028807,0.0352901654488956,0.16627097182652736,Small,Indo-European,Indo-European,True
DE # German,PS # Pashto,5.242964660337522,5.333374722877709,0.09041006254018669,0.016951755171518208,Negligible,0.21224489795918366,0.20816326530612245,0.004081632653061218,0.0192307692307692,Negligible,Indo-European,Indo-European,True
DE # German,PT # Portuguese,5.242964660337522,5.188821868216788,0.05414279212073403,0.010326751299759575,Negligible,0.21224489795918366,0.2,0.012244897959183654,0.0576923076923076,Negligible,Indo-European,Indo-European,True
DE # German,RU # Russian,5.242964660337522,5.198078706969961,0.04488595336756074,0.008561177935666488,Negligible,0.21224489795918366,0.18699186991869918,0.025253028040484488,0.11898061288305192,Small,Indo-European,Indo-European,True
DE # German,SQ # Albanian,5.242964660337522,5.203067751088011,0.03989690924951095,0.007609608653540407,Negligible,0.21224489795918366,0.17928286852589642,0.03296202943328724,0.15530186944529567,Small,Indo-European,Indo-European-Albanian,False
DE # German,SW # Swahili,5.242964660337522,5.3634208219259545,0.12045616158843231,0.022458830956541952,Negligible,0.21224489795918366,0.18032786885245902,0.03191702910672464,0.15037831021437573,Small,Indo-European,Niger-Congo,False
DE # German,TH # Thai,5.242964660337522,5.131506530949991,0.11145812938753075,0.021258607793163246,Negligible,0.21224489795918366,0.18518518518518517,0.02705971277399849,0.1274928774928775,Small,Indo-European,Tai-Kadai,False
DE # German,TR # Turkish,5.242964660337522,5.236401084565614,0.006563575771908248,0.0012518825124954607,Negligible,0.21224489795918366,0.17721518987341772,0.03502970808576594,0.16504381694255107,Small,Indo-European,Turkic,False
DE # German,UR # Urdu,5.242964660337522,5.372749284104717,0.12978462376719513,0.024156091584463663,Negligible,0.21224489795918366,0.19540229885057472,0.01684259910860894,0.07935455349248444,Negligible,Indo-European,Indo-European,True
DE # German,VI # Vietnamese,5.242964660337522,5.200332985360289,0.0426316749772333,0.008131215397986077,Negligible,0.21224489795918366,0.17427385892116182,0.03797103903802185,0.17890201085221832,Small,Indo-European,Austro-Asiatic,False
DE # German,ZH # Mandarin,5.242964660337522,5.262320360598009,0.01935570026048694,0.003678168361891096,Negligible,0.21224489795918366,0.20080321285140562,0.011441685107778043,0.05390793945010809,Negligible,Indo-European,Sino-Tibetan,False
ES # Spanish,FA # Persian,5.415165696173922,5.258188940216246,0.15697675595767624,0.028988356915576555,Negligible,0.20085470085470086,0.18473895582329317,0.016115745031407697,0.08023583696488087,Negligible,Indo-European,Indo-European,True
ES # Spanish,FR # French,5.415165696173922,5.216539005676045,0.1986266904978775,0.03667970689026504,Negligible,0.20085470085470086,0.1856060606060606,0.015248640248640255,0.07591876208897488,Negligible,Indo-European,Indo-European,True
ES # Spanish,GA # Irish,5.415165696173922,5.297003656694579,0.11816203947934323,0.02182057689625831,Negligible,0.20085470085470086,0.17670682730923695,0.02414787354546391,0.12022558318379904,Small,Indo-European,Indo-European,True
ES # Spanish,HE # Hebrew,5.415165696173922,5.233578614191033,0.1815870819828893,0.033533061067953916,Negligible,0.20085470085470086,0.19421487603305784,0.00663982482164302,0.033057851239669506,Negligible,Indo-European,Semitic,False
ES # Spanish,HI # Hindi,5.415165696173922,5.328230667682524,0.08693502849139811,0.016053992318798654,Negligible,0.20085470085470086,0.18823529411764706,0.012619406737053807,0.06282853566958703,Negligible,Indo-European,Indo-European,True
ES # Spanish,IT # Italian,5.415165696173922,5.19242356438474,0.22274213178918245,0.041133022383148976,Negligible,0.20085470085470086,0.1862348178137652,0.014619883040935672,0.07278835386338185,Negligible,Indo-European,Indo-European,True
ES # Spanish,JA # Japanese,5.415165696173922,5.347643951333662,0.06752174484025986,0.012469008083717042,Negligible,0.20085470085470086,0.17695473251028807,0.023899968344412797,0.11899133175728924,Small,Indo-European,Japonic,False
ES # Spanish,KO # Korean,5.415165696173922,5.2464859060379885,0.1686797901359336,0.031149515933577815,Negligible,0.20085470085470086,0.18875502008032127,0.01209968077437959,0.060240963855421784,Negligible,Indo-European,Koreanic,False
ES # Spanish,LV # Latvian,5.415165696173922,5.155005023042669,0.2601606731312529,0.04804297554829561,Negligible,0.20085470085470086,0.1728395061728395,0.028015194681861366,0.13947990543735234,Small,Indo-European,Indo-European,True
ES # Spanish,PL # Polish,5.415165696173922,5.259922443013784,0.15524325316013776,0.02866823692390884,Negligible,0.20085470085470086,0.17695473251028807,0.023899968344412797,0.11899133175728924,Small,Indo-European,Indo-European,True
ES # Spanish,PS # Pashto,5.415165696173922,5.333374722877709,0.08179097329621321,0.015104057361347688,Negligible,0.20085470085470086,0.20816326530612245,0.007308564451421584,0.035109770403888005,Negligible,Indo-European,Indo-European,True
ES # Spanish,PT # Portuguese,5.415165696173922,5.188821868216788,0.22634382795713393,0.04179813521072067,Negligible,0.20085470085470086,0.2,0.0008547008547008517,0.004255319148936155,Negligible,Indo-European,Indo-European,True
ES # Spanish,RU # Russian,5.415165696173922,5.198078706969961,0.21708698920396063,0.04008870667749708,Negligible,0.20085470085470086,0.18699186991869918,0.013862830936001685,0.06901920083030626,Negligible,Indo-European,Indo-European,True
