Model,SystemPromptType,Temperature,Language,Proficiency,Experiment,ImageFile,TrueEmotionLabel,PredictedEmotion
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,a.png,neutral,neutral
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,b.png,calm,neutral
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,c.png,happy,angry
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,d.png,sad,angry
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,e.png,angry,angry
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,f.png,fearful,surprised
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,g.png,disgust,angry
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,sound_waves,h.png,surprised,angry
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,a.png,neutral,neutral
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,b.png,calm,neutral
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,c.png,happy,angry
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,d.png,sad,angry
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,e.png,angry,angry
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,f.png,fearful,surprised
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,g.png,disgust,angry
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,Perfect,sound_waves,h.png,surprised,angry
gemini-2.0-flash,think-in-native,0.0,DE # German,Perfect,sound_waves,a.png,neutral,neutral
gemini-2.0-flash,think-in-native,0.0,DE # German,Perfect,sound_waves,b.png,calm,neutral
gemini-2.0-flash,think-in-native,0.0,DE # German,Perfect,sound_waves,c.png,happy,angry
gemini-2.0-flash,think-in-native,0.0,DE # German,Perfect,sound_waves,d.png,sad,angry
gemini-2.0-flash,think-in-native,0.0,DE # German,Perfect,sound_waves,e.png,angry,angry
gemini-2.0-flash,think-in-native,0.0,DE # German,Perfect,sound_waves,f.png,fearful,surprised
gemini-2.0-flash,think-in-native,0.0,DE # German,Perfect,sound_waves,g.png,disgust,angry
gemini-2.0-flash,think-in-native,0.0,DE # German,Perfect,sound_waves,h.png,surprised,angry
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,a.png,neutral,neutral
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,b.png,calm,neutral
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,c.png,happy,angry
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,d.png,sad,angry
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,e.png,angry,angry
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,f.png,fearful,surprised
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,g.png,disgust,angry
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,Perfect,sound_waves,h.png,surprised,angry
gemini-2.0-flash,think-in-native,0.0,FA # Persian,Perfect,sound_waves,a.png,neutral,neutral
gemini-2.0-flash,think-in-native,0.0,FA # Persian,Perfect,sound_waves,b.png,calm,neutral
gemini-2.0-flash,think-in-native,0.0,FA # Persian,Perfect,sound_waves,c.png,happy,angry
gemini-2.0-flash,think-in-native,0.0,FA # Persian,Perfect,sound_waves,d.png,sad,angry
gemini-2.0-flash,think-in-native,0.0,FA # Persian,Perfect,sound_waves,e.png,angry,angry
gemini-2.0-flash,think-in-native,0.0,FA # Persian,Perfect,sound_waves,f.png,fearful,surprised
gemini-2.0-flash,think-in-native,0.0,FA # Persian,Perfect,sound_waves,g.png,disgust,angry
gemini-2.0-flash,think-in-native,0.0,FA # Persian,Perfect,sound_waves,h.png,surprised,angry
gemini-2.0-flash,think-in-native,0.0,FR # French,Perfect,sound_waves,a.png,neutral,neutral
gemini-2.0-flash,think-in-native,0.0,FR # French,Perfect,sound_waves,b.png,calm,neutral
gemini-2.0-flash,think-in-native,0.0,FR # French,Perfect,sound_waves,c.png,happy,angry
gemini-2.0-flash,think-in-native,0.0,FR # French,Perfect,sound_waves,d.png,sad,angry
gemini-2.0-flash,think-in-native,0.0,FR # French,Perfect,sound_waves,e.png,angry,angry
gemini-2.0-flash,think-in-native,0.0,FR # French,Perfect,sound_waves,f.png,fearful,surprised
gemini-2.0-flash,think-in-native,0.0,FR # French,Perfect,sound_waves,g.png,disgust,angry
gemini-2.0-flash,think-in-native,0.0,FR # French,Perfect,sound_waves,h.png,surprised,angry
gemini-2.0-flash,think-in-native,0.0,GA # Irish,Perfect,sound_waves,a.png,neutral,neutral
gemini-2.0-flash,think-in-native,0.0,GA # Irish,Perfect,sound_waves,b.png,calm,neutral
gemini-2.0-flash,think-in-native,0.0,GA # Irish,Perfect,sound_waves,c.png,happy,angry
gemini-2.0-flash,think-in-native,0.0,GA # Irish,Perfect,sound_waves,d.png,sad,angry
