language1,language2,chi2_statistic,p_value,significant,cohens_d,cohens_d_interpretation,lang1_sample_size,lang2_sample_size
AR # Arabic,BN # Bengali,0.0,1.0,False,0.0,Negligible effect,4,4
AR # Arabic,DE # German,0.0,1.0,False,0.0,Negligible effect,4,4
AR # Arabic,ES # Spanish,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
AR # Arabic,FA # Persian,0.6666666666666666,0.7165313105737892,False,-0.2809757434745082,Small effect,4,4
AR # Arabic,FR # French,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
AR # Arabic,GA # Irish,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
AR # Arabic,HE # Hebrew,0.6666666666666666,0.7165313105737892,False,-0.2809757434745082,Small effect,4,4
AR # Arabic,HI # Hindi,0.0,1.0,False,0.0,Negligible effect,4,4
AR # Arabic,IT # Italian,0.0,1.0,False,0.0,Negligible effect,4,4
AR # Arabic,JA # Japanese,0.0,1.0,False,0.0,Negligible effect,4,4
AR # Arabic,KO # Korean,0.0,1.0,False,0.0,Negligible effect,4,4
AR # Arabic,LV # Latvian,0.0,1.0,False,0.0,Negligible effect,4,4
AR # Arabic,PL # Polish,0.0,1.0,False,0.0,Negligible effect,4,4
AR # Arabic,PS # Pashto,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
AR # Arabic,PT # Portuguese,0.6666666666666666,0.7165313105737892,False,-0.2809757434745082,Small effect,4,4
AR # Arabic,RU # Russian,0.6666666666666666,0.7165313105737892,False,-0.2809757434745082,Small effect,4,4
AR # Arabic,SQ # Albanian,0.0,1.0,False,0.0,Negligible effect,4,4
AR # Arabic,SW # Swahili,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
AR # Arabic,TH # Thai,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
AR # Arabic,TR # Turkish,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
AR # Arabic,UR # Urdu,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
AR # Arabic,VI # Vietnamese,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
AR # Arabic,ZH # Mandarin,0.0,1.0,False,0.0,Negligible effect,4,4
BN # Bengali,DE # German,0.0,1.0,False,0.0,Negligible effect,4,4
BN # Bengali,ES # Spanish,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
BN # Bengali,FA # Persian,0.6666666666666666,0.7165313105737892,False,-0.2809757434745082,Small effect,4,4
BN # Bengali,FR # French,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
BN # Bengali,GA # Irish,1.3333333333333333,0.7212333746277604,False,-0.4629100498862757,Small effect,4,4
BN # Bengali,HE # Hebrew,0.6666666666666666,0.7165313105737892,False,-0.2809757434745082,Small effect,4,4
BN # Bengali,HI # Hindi,0.0,1.0,False,0.0,Negligible effect,4,4
BN # Bengali,IT # Italian,0.0,1.0,False,0.0,Negligible effect,4,4
BN # Bengali,JA # Japanese,0.0,1.0,False,0.0,Negligible effect,4,4
